request_id,candidate_instance_id,source,window_ms,new_arrivals_during_window,candidate_waiting_reqs,candidate_running_reqs,predicted_total_ttft_ms,actual_ttft_ms,abs_err_ms,actual_ttft_rank
49,5,counterfactual,699.744235,0,0,1,732.5963347870986,702.688432,29.90790278709858,2
49,0,baseline,964.035558,1,0,3,733.3585700419303,966.979755,233.62118495806965,9
49,1,counterfactual,703.119031,0,0,3,733.6980662277894,706.063228,27.634838227789373,4
49,2,counterfactual,707.304257,1,0,3,733.9351438593192,710.248454,23.68668985931913,5
49,3,counterfactual,709.673539,0,0,3,733.0768500796946,712.617736,20.459114079694587,6
49,6,counterfactual,712.388003,0,0,4,751.4497520114489,715.3322,36.11755201144899,7
49,7,counterfactual,702.035547,0,0,2,732.6250156830038,704.979744,27.645271683003784,3
49,8,counterfactual,695.927642,1,0,1,732.4878333826514,698.871839,33.615994382651365,1
49,9,counterfactual,860.396214,1,0,3,751.3708307734439,863.340411,111.9695802265561,8
51,5,counterfactual,703.775701,1,0,1,732.5442538836093,706.463506,26.080747883609206,2
51,0,counterfactual,1029.713733,0,1,4,789.7010008405454,1032.401538,242.7005371594547,7
51,1,counterfactual,703.456367,0,0,3,733.6361005245494,706.144172,27.491928524549394,1
51,2,counterfactual,1050.104062,1,0,3,733.8710510815251,1052.791867,318.9208159184748,8
51,3,baseline,711.171035,0,0,3,733.0204579645351,713.85884,19.16161796453514,5
51,6,counterfactual,705.915365,0,0,4,734.3498791854458,708.60317,25.746709185445866,3
51,7,counterfactual,706.716069,0,0,2,732.5726774528173,709.403874,23.168803452817315,4
51,8,counterfactual,1075.991802,1,0,1,732.4367259601902,1078.679607,346.24288103980984,9
51,9,counterfactual,966.943917,1,0,3,751.1503039797974,969.631722,218.48141802020257,6
67,5,counterfactual,701.157957,0,0,2,733.974916614631,709.96253,24.01238661463094,2
67,0,counterfactual,702.954108,0,0,6,763.9812005670836,711.758681,52.22251956708362,4
67,1,counterfactual,706.868698,0,0,4,736.0021938168368,715.673271,20.32892281683678,5
67,2,counterfactual,702.428937,1,0,2,734.0631036279993,711.23351,22.829593627999316,3
67,3,counterfactual,860.096949,1,0,4,756.1261246790286,868.901522,112.77539732097136,9
67,6,counterfactual,711.980972,0,0,5,762.2848602318297,720.785545,41.49931523182977,6
67,7,counterfactual,694.004515,0,0,1,747.584179131143,702.809088,44.77509113114297,1
67,8,baseline,849.863135,1,0,2,733.8406471615342,858.667708,124.82706083846574,8
67,9,counterfactual,720.120874,0,0,6,769.7044601714662,728.925447,40.779013171466204,7
82,5,counterfactual,719.858349,0,0,4,735.8168782316932,722.604174,13.212704231693237,6
82,0,baseline,711.729125,0,0,3,733.8260044442442,714.47495,19.35105444424414,3
82,1,counterfactual,717.157778,0,0,6,761.22513279844,719.903603,41.32152979844,5
82,2,counterfactual,711.141224,0,0,4,756.2958152828093,713.887049,42.40876628280921,2
82,3,counterfactual,724.104853,0,0,5,735.6411171318514,726.850678,8.790439131851372,7
82,6,counterfactual,933.033358,1,0,3,734.2010049297082,935.779183,201.57817807029176,8
82,7,counterfactual,706.973999,0,0,4,736.3670977599412,709.719824,26.647273759941186,1
82,8,counterfactual,713.6269,0,0,5,758.261222909792,716.372725,41.88849790979202,4
82,9,counterfactual,1069.501831,1,0,7,737.8533660001051,1072.247656,334.3942899998949,9
84,5,counterfactual,708.182687,0,0,4,735.6293297485139,712.667715,22.961614748513853,4
84,0,counterfactual,896.247485,1,1,3,744.1134940850269,900.732513,156.61901891497314,9
84,1,counterfactual,721.282033,0,0,5,757.3604907313174,725.767061,31.59342973131743,7
84,2,counterfactual,703.224103,0,0,4,755.6827097411917,707.709131,47.97357874119177,1
84,3,baseline,706.761457,0,0,5,735.4572210050865,711.246485,24.21073600508646,3
84,6,counterfactual,716.842332,0,0,4,752.5867941395434,721.32736,31.259434139543373,5
84,7,counterfactual,719.289377,0,0,4,736.1681155874378,723.774405,12.393710587437795,6
84,8,counterfactual,705.245043,0,0,5,757.6072757421734,709.730071,47.87720474217349,2
84,9,counterfactual,837.914037,1,0,7,737.623498868877,842.399065,104.7755661311229,8
90,5,counterfactual,696.172747,0,0,3,733.4150050158192,703.691106,29.723899015819256,1
90,0,baseline,701.117496,0,0,4,734.1014040247958,708.635855,25.46554902479579,2
90,1,counterfactual,1019.715842,1,0,5,735.912477952545,1027.234201,291.32172304745495,9
90,2,counterfactual,720.607116,0,0,5,736.2726442401247,728.125475,8.14716924012464,6
90,3,counterfactual,858.437136,1,0,5,734.5070708173238,865.955495,131.44842418267626,8
90,6,counterfactual,708.756661,0,0,4,734.4675373973575,716.27502,18.192517397357506,3
90,7,counterfactual,709.933082,0,0,5,736.000049194497,717.451441,18.54860819449698,4
90,8,counterfactual,712.127899,0,0,5,756.4220569344021,719.646258,36.77579893440213,5
90,9,counterfactual,726.009981,0,0,6,736.2449953861742,733.52834,2.7166553861742386,7
154,5,counterfactual,722.868018,0,0,7,736.9159419092132,731.685434,5.230507909213202,4
154,0,counterfactual,720.876313,0,0,9,777.0683843181291,729.693729,47.37465531812916,3
154,1,baseline,893.233458,1,0,3,733.5189011717064,902.050874,168.53197282829365,9
154,2,counterfactual,712.373829,0,0,7,762.3914144822307,721.191245,41.20016948223076,2
154,3,counterfactual,744.927902,0,0,10,743.5278828196319,753.745318,10.217435180368057,8
154,6,counterfactual,703.739559,0,0,4,734.2204577947541,712.556975,21.663482794754145,1
154,7,counterfactual,727.627724,0,0,6,760.735655011001,736.44514,24.290515011000934,7
154,8,counterfactual,727.042294,0,0,9,738.8172120832737,735.85971,2.9575020832737664,6
154,9,counterfactual,726.788875,0,0,6,735.8570124962488,735.606291,0.25072149624872964,5
156,5,counterfactual,721.533353,0,0,7,737.280379184712,733.713085,3.5672941847120683,3
156,0,counterfactual,730.570827,0,0,9,778.8780160877473,742.750559,36.1274570877473,4
156,1,counterfactual,848.808187,0,0,4,753.6383442861511,860.987919,107.34957471384894,9
156,2,counterfactual,720.76597,0,0,6,760.2411321281246,732.945702,27.29543012812462,2
156,3,counterfactual,745.941389,0,0,10,744.096488610978,758.121121,14.024632389022031,8
156,6,baseline,711.734888,0,0,4,734.4878685482137,723.91462,10.573248548213655,1
156,7,counterfactual,734.045502,0,0,6,761.9575056107002,746.225234,15.732271610700195,6
