policy,gpu_count,mean_utilization_pct,min_utilization_pct,max_utilization_pct,std_utilization_pct,cv_utilization,total_busy_time_s,total_idle_time_s
A: Nearest only,10,84.88314506373676,78.80521629995889,97.13051564387072,5.066062490713495,0.05968278492637741,997.476275138,177.640733532
B: Redirect / cold,10,92.61768797552524,85.61608327974228,98.2533001417171,3.7847054910522617,0.04086374399728475,982.114183861,78.281735459
C: Redirect / KV,10,92.56564211237688,85.61608327974228,98.2263140627643,3.7684361842373395,0.040710960333018256,981.562291652,78.833627668
D: Multi no model,10,93.09020563891825,85.62443069824414,98.21778821599824,3.404700990877697,0.03657421280262263,987.028508327,73.264034323
E: Multi learned,10,92.89418159915957,85.6743186198813,98.21184979325378,3.675652594546299,0.03956816811635007,985.05014624,75.35011703
