excluded,n,pressure_mean_regret_ms,guardrail_mean_regret_ms,pressure_top1,guardrail_top1
(none),18,44.88236900000001,25.249998500000018,0.3888888888888889,0.5
[267],17,34.65448394117649,26.735292529411783,0.4117647058823529,0.47058823529411764
"[267, 156]",16,28.25330800000002,28.40624831250002,0.4375,0.4375
"[267, 156, 84]",15,29.22897993333335,29.22897993333335,0.4666666666666667,0.4666666666666667
