request_id,flipped,pressure_gpu,guardrail_gpu,formula_gpu,lambda_used,pressure_top2_gap,lambda_x_gap_ms,pressure_regret_ms,guardrail_regret_ms,formula_regret_ms,regret_delta_guardrail_minus_pressure
82,True,6,0,0,200.0,0.0017279565310934775,0.3455913062186955,226.05935899999997,4.755126000000018,4.755126000000018,-221.30423299999995
267,True,0,2,2,200.0,0.0,0.0,218.75641499999995,0.0,0.0,-218.75641499999995
156,True,1,6,6,200.0,0.0017279565310934775,0.3455913062186955,137.07329900000002,0.0,0.0,-137.07329900000002
84,True,6,5,3,200.0,0.002807929363026984,0.5615858726053968,13.618229000000042,4.958584000000087,3.5373540000000503,-8.659644999999955
263,False,0,0,0,200.0,0.0894217504840894,17.88435009681788,0.0,0.0,0.0,0.0
205,False,9,9,9,200.0,0.18467535426061937,36.93507085212387,7.183597000000077,7.183597000000077,7.183597000000077,0.0
203,False,9,9,9,200.0,0.2730171319127754,54.60342638255508,0.0,0.0,0.0,0.0
197,False,9,9,9,200.0,0.0922296798471163,18.44593596942326,0.0,0.0,0.0,0.0
175,False,2,2,2,200.0,0.08574984285551562,17.149968571103123,0.1870270000000573,0.1870270000000573,0.1870270000000573,0.0
173,False,2,2,2,200.0,0.001727956531093422,0.3455913062186844,0.0,0.0,0.0,0.0
49,False,5,5,8,200.0,0.0012959673983201914,0.2591934796640383,3.816593000000012,3.816593000000012,0.0,0.0
154,False,1,1,1,200.0,0.09287766354627641,18.57553270925528,189.49389900000008,189.49389900000008,189.49389900000008,0.0
90,False,5,5,5,200.0,0.08250992435971533,16.501984871943066,0.0,0.0,0.0,0.0
51,False,5,5,8,200.0,0.001295967398320108,0.2591934796640216,0.3193340000000262,0.3193340000000262,372.535435,0.0
165,False,7,7,7,200.0,0.0034559130621870104,0.6911826124374021,10.02788600000008,10.02788600000008,10.02788600000008,0.0
161,False,2,2,9,200.0,0.0021599456638669023,0.43198913277338047,1.34700399999997,1.34700399999997,14.517367000000036,0.0
265,True,2,0,0,200.0,0.0010799728319333957,0.21599456638667913,0.0,2.7885420000000067,2.7885420000000067,2.7885420000000067
67,True,7,8,8,100.0,0.0876937939529959,8.76937939529959,0.0,155.85861999999997,155.85861999999997,155.85861999999997
