policy,gpu_window_samples,mean_pct,p10_pct,p25_pct,p50_pct,p75_pct,p90_pct,idle_window_fraction,under_50pct_window_fraction,saturated_window_fraction
A: Nearest only,1180,84.57326900601696,0.0,100.0,100.0,100.0,100.0,0.1423728813559322,0.15423728813559323,0.8355932203389831
B: Redirect / cold,1070,91.87613008682243,100.0,100.0,100.0,100.0,100.0,0.0691588785046729,0.08037383177570094,0.9074766355140187
C: Redirect / KV,1070,91.82455137570095,100.0,100.0,100.0,100.0,100.0,0.0691588785046729,0.08037383177570094,0.9065420560747663
D: Multi no model,1070,92.33637888429907,100.0,100.0,100.0,100.0,100.0,0.06635514018691589,0.07570093457943926,0.9130841121495327
E: Multi learned,1070,92.15047849654206,100.0,100.0,100.0,100.0,100.0,0.06728971962616823,0.0794392523364486,0.9102803738317757
