gpu_id,instance_id,gpu_x_m,gpu_y_m
0,0,100.0,250.0
1,1,300.0,250.0
2,2,500.0,250.0
3,3,700.0,250.0
4,4,900.0,250.0
5,5,100.0,750.0
6,6,300.0,750.0
7,7,500.0,750.0
8,8,700.0,750.0
9,9,900.0,750.0
