pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0326,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0279,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0289,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0149,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0199,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0182,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0382,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0187,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0357,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0015,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0185,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0084,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0384,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.032,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0231,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0682,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,-0.002,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.065,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.016,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0217,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0157,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.0001,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0377,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.0098,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0591,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.1541,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0069,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0594,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.0805,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1443,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0045,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0048,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.004,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0007,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0045,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,0.0014,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0094,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.0021,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0074,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0008,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.001,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0085,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.0179,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.0031,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.0025,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.1462,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1318,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.1429,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1369,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1229,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.1164,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.1958,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.1517,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1935,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.2231,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.2061,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.2219,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.1111,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.1305,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.067,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0261,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.1363,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0377,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0575,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.0753,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.1566,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.4188,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.0897,2
0,n<=4,sr>70%,kvB<=4k,kp=0,-0.0445,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0788,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0754,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0759,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0601,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.071,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0612,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.087,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0738,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.0888,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,0.0823,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0681,2
