layer,sequences,time_us
lm_head,1,1097.01
lm_head,2,1102.9
lm_head,3,1105.08
lm_head,4,1106.46
lm_head,5,1108.55
lm_head,6,1110.62
lm_head,7,1112.45
lm_head,8,1114.23
lm_head,9,1116.18
lm_head,10,1118.04
lm_head,11,1118.16
lm_head,12,1120.41
lm_head,13,1120.94
lm_head,14,1121.73
lm_head,15,1123.25
lm_head,16,1125.37
lm_head,20,1177.98
lm_head,24,1183.33
lm_head,28,1187.71
lm_head,32,1191.05
lm_head,36,1195.73
lm_head,40,1199.68
lm_head,44,1202.53
lm_head,48,1218.38
lm_head,52,1222.09
lm_head,56,1206.18
lm_head,60,1208.84
lm_head,64,1211.25
lm_head,80,1206.52
lm_head,96,1257.61
lm_head,112,1272.25
lm_head,128,1284.22
lm_head,144,1339.55
lm_head,160,1342.87
lm_head,176,1356.55
lm_head,192,1364.75
lm_head,208,1704.54
lm_head,224,1707.22
lm_head,240,1710.7
lm_head,256,1718.59
sampler,1,25.547
sampler,2,27.5627
sampler,3,28.064
sampler,4,28.2247
sampler,5,28.278
sampler,6,28.683
sampler,7,29.8563
sampler,8,29.9627
sampler,9,30.2513
sampler,10,30.3253
sampler,11,30.464
sampler,12,30.955
sampler,13,31.734
sampler,14,32.0427
sampler,15,32.032
sampler,16,32.224
sampler,20,34.0907
sampler,24,34.6993
sampler,28,36.48
sampler,32,37.8453
sampler,36,39.051
sampler,40,40.5977
sampler,44,41.8027
sampler,48,43.0083
sampler,52,44.5767
sampler,56,44.736
sampler,60,46.368
sampler,64,47.6807
sampler,80,58.7843
sampler,96,71.275
sampler,112,93.1527
sampler,128,111.03
sampler,144,131.158
sampler,160,152.876
sampler,176,173.869
sampler,192,200.589
sampler,208,226.348
sampler,224,252.962
sampler,240,284.834
sampler,256,311.789
