actual_decile,n,mean_actual,mean_predicted
0,206,0.3314249660194927,196.74213864996997
1,205,2.063496141463464,365.1743891653099
2,205,41.92527127804887,736.0245685194485
3,205,793.6268183219512,1958.4218198033323
4,205,1935.0407731853659,2410.481579102951
5,205,3544.9267041365856,3003.4741308626203
6,205,5350.791532229268,3972.781514573624
7,206,8057.945603694175,3636.191518216645
8,205,12312.477549234147,5106.134244218763
9,205,24313.506128058536,10621.171283691503
