actual_decile,n,mean_actual,mean_predicted
0,206,0.3314249660194927,163.87211996863198
1,205,2.063496141463464,277.7953448188739
2,205,41.92527127804887,724.9785704278712
3,205,793.6268183219512,1971.5592635773012
4,205,1935.0407731853659,2610.206165582425
5,205,3544.9267041365856,3373.689637479557
6,205,5350.791532229268,4699.363020159298
7,206,8057.945603694175,4142.836185022353
8,205,12312.477549234147,6047.387788261451
9,205,24313.506128058536,12722.874394058066
