variant,compute_mae_ms,compute_r2
"baseline (input_tokens, home_cached_prefix_tokens)",59.67971875806672,0.830240880090754
+ router_initial_running_reqs,57.93436959625196,0.8432365101493974
+ router_initial_waiting_reqs,57.64317298146645,0.8354469165446161
+ both running & waiting,56.02057261128865,0.8477168032751936
