actual_decile,n,mean_actual,mean_predicted
0,206,0.3314249660194927,198.3417752599319
1,205,2.063496141463464,335.5859542295235
2,205,41.92527127804887,728.0850640299235
3,205,793.6268183219512,2001.1394729730432
4,205,1935.0407731853659,2485.1656366368934
5,205,3544.9267041365856,2978.5111623483836
6,205,5350.791532229268,3754.230327480701
7,206,8057.945603694175,3530.1081513888853
8,205,12312.477549234147,4937.689360755708
9,205,24313.506128058536,9696.474640579116
