feature,mean,scale
input_tokens,6300.0,1307.669683062202
output_tokens,652.51,98.27551356602858
home_cached_prefix_tokens,899.2,1576.9101940186704
request_rate_rps,3.1068710540495,0.7482636417766292
arrival_offset_s,52.15760961083466,30.564970297520095
interarrival_ms,335.84573811966663,334.88993536319055
global_arrivals_1s,3.0533333333333332,1.9552891232642695
global_arrivals_5s,15.0145,5.636750519285617
home_arrivals_1s,0.293,0.5490758903223973
home_arrivals_5s,1.5236666666666667,1.333206618978802
home_workload_share,0.10586666666666664,0.027873204974590837
router_initial_waiting_reqs,0.017833333333333333,0.14554027697590183
router_initial_running_reqs,5.403,3.2262864617596083
router_initial_required_kv_bytes,912268110.5066667,171885073.3944936
router_initial_available_kv_bytes,4747595808.768,3014364845.520844
router_initial_projected_active_kv_bytes,4961685471.232,3014364845.520844
router_initial_capacity_pressure,0.6049833568874283,0.3154572176285468
router_initial_slot_pressure,0.0500234375,0.02520536298249694
router_initial_admissible_candidate_count,8.36,2.243524013689178
router_initial_total_waiting_reqs,0.20116666666666666,0.49365842329376786
router_initial_max_waiting_reqs,0.18783333333333332,0.447830293997874
router_initial_total_running_reqs,53.24466666666667,22.676106475514903
router_initial_max_running_reqs,8.6535,2.5282611448714443
router_initial_min_available_kv_bytes,1856758459.0506666,2343623416.585586
router_initial_max_available_kv_bytes,7913463108.949333,1935619489.4062748
router_initial_min_capacity_pressure,0.2789172754872885,0.20335199171928628
router_initial_max_capacity_pressure,0.9027229388760688,0.2482090037905819
