actual_decile,n,mean_actual,mean_predicted
0,206,0.3314249660194927,193.12888643987088
1,205,2.063496141463464,404.10181435430343
2,205,41.92527127804887,780.3335327385621
3,205,793.6268183219512,2069.034639865282
4,205,1935.0407731853659,2564.628485487747
5,205,3544.9267041365856,3120.426600807201
6,205,5350.791532229268,4338.573109966687
7,206,8057.945603694175,3973.13116499887
8,205,12312.477549234147,5270.602316983819
9,205,24313.506128058536,11441.250668001763
