variant,route_mae_ms,route_r2
"baseline (NUMERIC_FEATURES, tuned hyperparams)",612.3700744669234,0.5114489812324261
"+ capacity_overload, slot_overload",602.1321417726932,0.5122350375927769
"+ home_load_x_rate, capacity_pressure_x_rate",631.7553191592368,0.46359877290046525
+ all four,617.3853452974517,0.47012773853362866
