pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1132,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.0768,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,-0.0604,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1154,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,-0.0836,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.115,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0969,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0195,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0074,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.0564,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0321,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.605,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,-0.0485,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,-0.0497,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,-0.0431,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1295,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,-0.0447,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.219,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.0515,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.0303,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,-0.0426,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.0499,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,-0.1833,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.0509,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,-0.0921,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.0715,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.1095,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,-0.0598,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.032,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.5963,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,-0.1036,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,-0.2131,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.1377,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.0606,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.1057,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.1316,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.0275,2
