layer,tokens,time_us
act_fn,3264,77.44
act_fn,3280,77.8347
act_fn,3296,78.656
act_fn,3312,78.3147
act_fn,3328,79.0827
act_fn,3344,79.168
act_fn,3360,80
act_fn,3376,79.8827
act_fn,3392,80.2883
act_fn,3408,80.3307
act_fn,3424,80.9287
act_fn,3440,81.5897
act_fn,3456,81.7387
act_fn,3472,82.1653
act_fn,3488,82.5387
act_fn,3504,83.3813
act_fn,3520,83.328
act_fn,3536,84.0213
act_fn,3552,84.6183
act_fn,3568,84.9387
act_fn,3584,85.0027
act_fn,3600,85.1947
act_fn,3616,85.5893
act_fn,3632,86.6133
act_fn,3648,86.9867
act_fn,3664,86.7833
act_fn,3680,87.52
act_fn,3696,87.9363
act_fn,3712,88.224
act_fn,3728,87.851
act_fn,3744,88.6613
act_fn,3760,89.078
act_fn,3776,89.621
act_fn,3792,89.856
act_fn,3808,90.7093
act_fn,3824,90.5173
act_fn,3840,91.2853
act_fn,3856,91.776
act_fn,3872,92.0213
act_fn,3888,92.544
act_fn,3904,92.8543
act_fn,3920,93.0773
act_fn,3936,93.696
act_fn,3952,93.7707
act_fn,3968,94.0803
act_fn,3984,94.8697
act_fn,4000,95.1467
act_fn,4016,95.7113
act_fn,4032,96.0223
act_fn,4048,95.7653
act_fn,4064,96.4697
act_fn,4080,96.6933
act_fn,4096,97.5043
act_fn,4112,96.736
act_fn,4128,98.3043
act_fn,4144,98.0477
act_fn,4160,98.8487
act_fn,4176,98.9443
act_fn,4192,100.064
act_fn,4208,100.352
act_fn,4224,100.757
act_fn,4240,100.373
act_fn,4256,100.96
act_fn,4272,101.323
act_fn,4288,101.546
act_fn,4304,102.421
act_fn,4320,102.731
act_fn,4336,103.03
act_fn,4352,103.168
act_fn,4368,103.744
act_fn,4384,103.989
act_fn,4400,104.139
act_fn,4416,105.665
act_fn,4432,104.832
act_fn,4448,105.333
act_fn,4464,105.472
act_fn,4480,105.889
act_fn,4496,106.549
act_fn,4512,106.251
act_fn,4528,107.52
act_fn,4544,107.851
act_fn,4560,108.81
act_fn,4576,109.014
act_fn,4592,109.088
act_fn,4608,109.963
act_fn,4624,109.931
act_fn,4640,110.869
act_fn,4656,109.931
act_fn,4672,110.358
act_fn,4688,111.456
act_fn,4704,111.67
act_fn,4720,112.843
act_fn,4736,111.904
act_fn,4752,113.163
act_fn,4768,113.248
act_fn,4784,113.962
act_fn,4800,114.795
act_fn,4816,114.624
act_fn,4832,115.029
act_fn,4848,115.744
act_fn,4864,115.413
act_fn,4880,115.68
act_fn,4896,116.406
act_fn,4912,115.936
act_fn,4928,117.045
act_fn,4944,116.875
act_fn,4960,117.515
act_fn,4976,118.325
act_fn,4992,118.944
act_fn,5008,118.891
act_fn,5024,120.448
act_fn,5040,119.381
act_fn,5056,120.267
act_fn,5072,120.79
act_fn,5088,122.187
act_fn,5104,121.429
act_fn,5120,121.664
act_fn,5136,122.133
act_fn,5152,122.24
act_fn,5168,123.093
act_fn,5184,123.52
act_fn,5200,123.317
act_fn,5216,123.712
act_fn,5232,124.224
act_fn,5248,124.341
act_fn,5264,124.993
act_fn,5280,125.59
act_fn,5296,125.771
act_fn,5312,125.621
act_fn,5328,126.518
act_fn,5344,127.211
act_fn,5360,127.285
act_fn,5376,127.563
act_fn,5392,127.829
act_fn,5408,128.385
act_fn,5424,129.184
act_fn,5440,129.035
act_fn,5456,129.333
act_fn,5472,130.219
act_fn,5488,130.443
act_fn,5504,131.093
act_fn,5520,131.445
act_fn,5536,131.477
act_fn,5552,131.989
act_fn,5568,132.075
act_fn,5584,132.811
act_fn,5600,132.981
act_fn,5616,133.279
act_fn,5632,134.261
act_fn,5648,133.397
act_fn,5664,134.315
act_fn,5680,134.304
act_fn,5696,134.485
act_fn,5712,135.083
act_fn,5728,135.851
act_fn,5744,136.032
act_fn,5760,136.928
act_fn,5776,137.184
act_fn,5792,136.32
act_fn,5808,137.526
act_fn,5824,137.515
act_fn,5840,137.675
act_fn,5856,138.166
act_fn,5872,137.952
act_fn,5888,139.776
act_fn,5904,139.04
act_fn,5920,140.086
act_fn,5936,140.917
act_fn,5952,141.696
act_fn,5968,141.28
act_fn,5984,142.379
act_fn,6000,142.379
act_fn,6016,142.208
act_fn,6032,143.445
act_fn,6048,144.299
act_fn,6064,144.683
act_fn,6080,144.043
act_fn,6096,144.864
act_fn,6112,145.312
act_fn,6128,145.44
act_fn,6144,145.451
act_fn,6160,145.888
act_fn,6176,146.091
act_fn,6192,146.71
act_fn,6208,147.115
act_fn,6224,147.136
act_fn,6240,148.16
act_fn,6256,148.214
act_fn,6272,148.139
act_fn,6288,149.462
act_fn,6304,149.355
act_fn,6320,149.675
act_fn,6336,150.08
act_fn,6352,150.378
act_fn,6368,151.232
act_fn,6384,151.691
act_fn,6400,151.99
act_fn,6416,153.184
act_fn,6432,152.299
act_fn,6448,153.451
act_fn,6464,152.971
act_fn,6480,153.557
act_fn,6496,153.782
act_fn,6512,153.782
act_fn,6528,154.368
act_fn,6544,155.104
act_fn,6560,155.595
act_fn,6576,156.715
act_fn,6592,156.469
act_fn,6608,156.565
act_fn,6624,157.366
act_fn,6640,158.261
act_fn,6656,158.07
act_fn,6672,157.653
act_fn,6688,159.488
act_fn,6704,158.55
act_fn,6720,158.934
act_fn,6736,159.883
act_fn,6752,157.473
act_fn,6768,160.768
act_fn,6784,160.566
act_fn,6800,160.064
act_fn,6816,160.512
act_fn,6832,161.408
act_fn,6848,161.558
act_fn,6864,162.272
act_fn,6880,162.624
act_fn,6896,163.553
act_fn,6912,163.776
act_fn,6928,163.605
act_fn,6944,165.185
act_fn,6960,164.107
act_fn,6976,165.099
act_fn,6992,163.52
act_fn,7008,166.07
act_fn,7024,165.622
act_fn,7040,166.091
act_fn,7056,166.635
act_fn,7072,167.498
act_fn,7088,168.171
act_fn,7104,168.288
act_fn,7120,168.16
act_fn,7136,169.717
act_fn,7152,168.768
act_fn,7168,170.624
act_fn,7184,169.088
act_fn,7200,171.317
act_fn,7216,170.645
act_fn,7232,171.093
act_fn,7248,171.179
act_fn,7264,170.934
act_fn,7280,171.989
act_fn,7296,172.224
act_fn,7312,175.019
act_fn,7328,175.872
act_fn,7344,176.406
act_fn,7360,173.996
act_fn,7376,174.081
act_fn,7392,174.645
act_fn,7408,174.475
act_fn,7424,174.496
act_fn,7440,175.285
act_fn,7456,176.523
act_fn,7472,176.118
act_fn,7488,176.886
act_fn,7504,177.248
act_fn,7520,177.953
act_fn,7536,177.963
act_fn,7552,178.187
act_fn,7568,178.571
act_fn,7584,178.997
act_fn,7600,179.35
