policy,requests,redirects,e2e_ttft_mean_ms,e2e_ttft_p50_ms,e2e_ttft_p95_ms,e2e_ttft_p99_ms,e2e_ttft_max_ms,router_queue_mean_ms,scheduler_queue_mean_ms,prefill_mean_ms,kv_transfer_mean_ms,completion_mean_ms,completion_p95_ms
NEAREST_KV,300,0,19377.419025363335,11786.46593,89486.30290115,104735.45400554,110689.910644,17932.53651289333,95.27145702666667,1349.6110554433335,0.0,41758.5829478,111787.01405665006
NEAREST_MIGRATE,300,93,18036.430034693334,12277.303748,65266.524625200014,94740.23821726999,102981.95977,16585.409590293333,101.27898298333334,1349.5457413666666,0.0,40371.65068527334,90767.10078855
NEAREST_MIGRATE_KV,300,93,18036.430034693334,12277.303748,65266.524625200014,94740.23821726999,102981.95977,16585.409590293333,101.27898298333334,1349.5457413666666,0.0,40371.65068527334,90767.10078855
