scenario_id,policy,path,n,schema_columns,has_scheduler_state,has_router_state,input_tokens,nominal_reuse_ratio,request_rate_rps,rerouted_n,kv_moved_n
2026-07-14_input_reuse_90s_sweep/input512_reuse05,NEAREST_MIGRATE_KV,experiments/2026-07-14_input_reuse_90s_sweep/results/input512_reuse05/NEAREST_MIGRATE_KV/requests.csv,300,72,False,False,512,0.5,3.3368690004150836,0,0
2026-07-14_input_reuse_sweep_60s/input512_reuse00,NEAREST_KV,experiments/2026-07-14_input_reuse_sweep_60s/results/input512_reuse00/NEAREST_KV/requests.csv,300,72,False,False,512,0.0,5.005303500650556,0,0
2026-07-14_input_reuse_sweep_60s/input512_reuse00,NEAREST_MIGRATE,experiments/2026-07-14_input_reuse_sweep_60s/results/input512_reuse00/NEAREST_MIGRATE/requests.csv,300,72,False,False,512,0.0,5.005303500650556,0,0
2026-07-14_input_reuse_sweep_60s/input512_reuse00,NEAREST_MIGRATE_KV,experiments/2026-07-14_input_reuse_sweep_60s/results/input512_reuse00/NEAREST_MIGRATE_KV/requests.csv,300,72,False,False,512,0.0,5.005303500650556,0,0
2026-07-14_prompt6000_120s_three_policy,NEAREST_KV,experiments/2026-07-14_prompt6000_120s_three_policy/results/NEAREST_KV/requests.csv,300,72,False,False,6000,0.49866666666666665,2.502651750325278,0,0
2026-07-14_prompt6000_120s_three_policy,NEAREST_MIGRATE,experiments/2026-07-14_prompt6000_120s_three_policy/results/NEAREST_MIGRATE/requests.csv,300,72,False,False,6000,0.49866666666666665,2.502651750325278,9,0
2026-07-14_prompt6000_120s_three_policy,NEAREST_MIGRATE_KV,experiments/2026-07-14_prompt6000_120s_three_policy/results/NEAREST_MIGRATE_KV/requests.csv,300,72,False,False,6000,0.49866666666666665,2.502651750325278,8,8
2026-07-14_prompt6000_90s_three_policy_良結果,NEAREST_KV,experiments/2026-07-14_prompt6000_90s_three_policy_良結果/results/NEAREST_KV/requests.csv,300,72,False,False,6000,0.49866666666666665,3.3368690004150836,0,0
2026-07-14_prompt6000_90s_three_policy_良結果,NEAREST_MIGRATE,experiments/2026-07-14_prompt6000_90s_three_policy_良結果/results/NEAREST_MIGRATE/requests.csv,300,72,False,False,6000,0.49866666666666665,3.3368690004150836,24,0
2026-07-14_prompt6000_90s_three_policy_良結果,NEAREST_MIGRATE_KV,experiments/2026-07-14_prompt6000_90s_three_policy_良結果/results/NEAREST_MIGRATE_KV/requests.csv,300,72,False,False,6000,0.49866666666666665,3.3368690004150836,24,24
2026-07-16_input10000_reuse05_180s_three_policy_良結果,NEAREST_KV,experiments/2026-07-16_input10000_reuse05_180s_three_policy_良結果/results/NEAREST_KV/requests.csv,300,72,False,False,10000,0.4992,1.6684345002075418,0,0
2026-07-16_input10000_reuse05_180s_three_policy_良結果,NEAREST_MIGRATE,experiments/2026-07-16_input10000_reuse05_180s_three_policy_良結果/results/NEAREST_MIGRATE/requests.csv,300,72,False,False,10000,0.4992,1.6684345002075418,33,0
2026-07-16_input10000_reuse05_180s_three_policy_良結果,NEAREST_MIGRATE_KV,experiments/2026-07-16_input10000_reuse05_180s_three_policy_良結果/results/NEAREST_MIGRATE_KV/requests.csv,300,72,False,False,10000,0.4992,1.6684345002075418,28,28
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input4000_rate2p5_reuse00_seed1/NEAREST_KV/requests.csv,300,142,True,True,4000,0.0,2.5073430794920317,0,0
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,experiments/2026-07-16_ttft_component_regression/results/phase1/input4000_rate2p5_reuse00_seed1/NEAREST_MIGRATE/requests.csv,300,142,True,True,4000,0.0,2.5073430794920317,0,0
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input4000_rate2p5_reuse00_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,4000,0.0,2.5073430794920317,0,0
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate2p5_reuse00_seed1/NEAREST_KV/requests.csv,300,142,True,True,6000,0.0,2.606618609900399,0,0
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate2p5_reuse00_seed1/NEAREST_MIGRATE/requests.csv,300,142,True,True,6000,0.0,2.606618609900399,11,0
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate2p5_reuse00_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,6000,0.0,2.606618609900399,11,0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate3p33_reuse00_seed1/NEAREST_KV/requests.csv,300,142,True,True,6000,0.0,3.326229654655415,0,0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate3p33_reuse00_seed1/NEAREST_MIGRATE/requests.csv,300,142,True,True,6000,0.0,3.326229654655415,36,0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate3p33_reuse00_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,6000,0.0,3.326229654655415,36,0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate3p33_reuse50_seed1/NEAREST_KV/requests.csv,300,142,True,True,6000,0.49866666666666665,3.326229654655415,0,0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate3p33_reuse50_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,6000,0.49866666666666665,3.326229654655415,15,15
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate5p0_reuse00_seed1/NEAREST_KV/requests.csv,300,142,True,True,6000,0.0,4.7331674208632775,0,0
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,NEAREST_MIGRATE,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate5p0_reuse00_seed1/NEAREST_MIGRATE/requests.csv,300,142,True,True,6000,0.0,4.7331674208632775,80,0
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input6000_rate5p0_reuse00_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,6000,0.0,4.7331674208632775,80,0
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input8000_rate2p5_reuse00_seed1/NEAREST_KV/requests.csv,300,142,True,True,8000,0.0,2.660814246157635,0,0
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,NEAREST_MIGRATE,experiments/2026-07-16_ttft_component_regression/results/phase1/input8000_rate2p5_reuse00_seed1/NEAREST_MIGRATE/requests.csv,300,142,True,True,8000,0.0,2.660814246157635,57,0
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input8000_rate2p5_reuse00_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,8000,0.0,2.660814246157635,57,0
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,NEAREST_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input8000_rate2p5_reuse50_seed1/NEAREST_KV/requests.csv,300,142,True,True,8000,0.5,2.660814246157635,0,0
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,NEAREST_MIGRATE,experiments/2026-07-16_ttft_component_regression/results/phase1/input8000_rate2p5_reuse50_seed1/NEAREST_MIGRATE/requests.csv,300,142,True,True,8000,0.5,2.660814246157635,30,0
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,NEAREST_MIGRATE_KV,experiments/2026-07-16_ttft_component_regression/results/phase1/input8000_rate2p5_reuse50_seed1/NEAREST_MIGRATE_KV/requests.csv,300,142,True,True,8000,0.5,2.660814246157635,29,29
