feature_set,target,group,mean_mae_increase_ms,ci95_low_ms,ci95_high_ms,mean_partial_r2,n_scenarios
common,compute_prefill_ms,home_cell_load,-0.9843979570202983,-4.027301529434886,1.82607660933759,-13.127732662749375,21
common,compute_prefill_ms,kv_movement,0.04661553655297588,-0.16923566587233357,0.25430866001771957,0.19041246644898777,21
common,compute_prefill_ms,nominal_reuse,0.8528834253692482,-0.43511302580708217,2.111586932339353,0.04750626880080546,21
common,compute_prefill_ms,offered_load,-0.2308149907022065,-1.2838085109327388,0.681065416158635,-0.5000293616916357,21
common,compute_prefill_ms,policy,-0.011057812770964912,-0.03604348189140856,0.02690282926330099,-0.06680937378367903,21
common,compute_prefill_ms,realized_reuse,0.8783001279790329,-0.12188505110031052,1.8532214068005588,-1.0638687958506499,21
common,compute_prefill_ms,request_demand,4.535478591444321,0.9144644257437983,8.461449080033338,18.075039249109402,21
common,compute_prefill_ms,routing_result,-0.018301565290812505,-0.17438704053309245,0.11220560654076749,0.07472770268281739,21
common,e2e_ttft_ms,home_cell_load,34.36039581350513,-61.25991058819816,121.71322878272018,-5927.014362244174,21
common,e2e_ttft_ms,kv_movement,-26.301972856464403,-68.43106450836565,5.554688627889862,355.3662537653997,21
common,e2e_ttft_ms,nominal_reuse,-74.72857149592042,-404.81794182575055,208.0539551566003,-11473.70912847164,21
common,e2e_ttft_ms,offered_load,-194.1720506161036,-913.9289522736142,292.8904659181805,1731.6708365104748,21
common,e2e_ttft_ms,policy,8.422294773981534,-15.206885018658742,31.14550885655819,-857.3164744084474,21
common,e2e_ttft_ms,realized_reuse,-14.95642390050046,-373.14018559899785,231.79153157189134,-13486.777547217727,21
common,e2e_ttft_ms,request_demand,95.92778353802214,-290.3391273790235,465.0053132434188,-14244.557871367799,21
common,e2e_ttft_ms,routing_result,-11.671265432334849,-82.9336359516659,51.17151576859947,-1897.0883932755914,21
common,router_queue_ms,home_cell_load,40.428756194922656,-56.82766933995778,137.16237289836317,-0.35657400886692914,21
common,router_queue_ms,kv_movement,-26.827589068173125,-65.98900022504515,2.8564093989839408,-0.02781642578938328,21
common,router_queue_ms,nominal_reuse,-67.96832656798432,-406.7589856814386,244.1475360203653,0.2622263335379242,21
common,router_queue_ms,offered_load,-186.81957114335867,-903.4928096825984,310.199623963612,0.22699400111082285,21
common,router_queue_ms,policy,9.986403382931579,-15.63515488166054,33.14810520792507,0.0062710322868030095,21
common,router_queue_ms,realized_reuse,-7.977262832243339,-357.8325608058075,229.87658111913427,0.275773724823564,21
common,router_queue_ms,request_demand,109.33150089624529,-298.6296822278366,503.53084850895976,0.0046160636743620646,21
common,router_queue_ms,routing_result,-10.826794621202815,-78.95618848461142,56.53933406880441,-0.03452017811922819,21
common,scheduler_queue_ms,home_cell_load,0.9670402786193557,-3.3260770295459894,5.09860851292985,-8.900473134429511,21
common,scheduler_queue_ms,kv_movement,-0.0859959763794395,-0.35253969133455204,0.15116271132374562,0.06232666209369805,21
common,scheduler_queue_ms,nominal_reuse,-0.09758534493480078,-0.46926426584365716,0.237301596973346,0.15123390454032673,21
common,scheduler_queue_ms,offered_load,0.6571537978648773,-0.7015231976011165,2.359460959546567,0.39892129830200734,21
