scenario_id,policy,request_id,input_tokens,output_tokens_actual,minimum_prefill_chunks,nominal_reuse_tokens,nominal_reuse_ratio,reuse_tokens_realized,reuse_preservation_ratio,reuse_lost,realized_uncached_tokens,request_rate_rps,offered_uncached_tokens_per_s,rerouted,kv_moved,migration_tokens_realized,router_queue_ms,scheduler_queue_ms,kv_transfer_ms,compute_prefill_ms,other_communication_ms,e2e_ttft_ms,has_scheduler_state,has_router_state,arrival_offset_s,interarrival_ms,global_arrivals_1s,home_arrivals_1s,global_arrivals_5s,home_arrivals_5s,home_workload_share,router_initial_waiting_reqs,router_initial_running_reqs,router_initial_required_kv_bytes,router_initial_available_kv_bytes,router_initial_projected_active_kv_bytes,router_initial_capacity_pressure,router_initial_slot_pressure,router_initial_admissible_candidate_count,router_initial_total_waiting_reqs,router_initial_max_waiting_reqs,router_initial_total_running_reqs,router_initial_max_running_reqs,router_initial_min_available_kv_bytes,router_initial_max_available_kv_bytes,router_initial_min_capacity_pressure,router_initial_max_capacity_pressure,router_decision_waiting_reqs,router_decision_running_reqs,router_decision_available_kv_bytes,router_decision_projected_active_kv_bytes,router_decision_capacity_pressure,router_decision_slot_pressure,router_capacity_retry_count,scheduler_waiting_reqs_at_first_schedule,scheduler_running_reqs_at_first_schedule,scheduler_running_decode_reqs_at_first_schedule,scheduler_scheduled_prefill_tokens,scheduler_scheduled_decode_tokens,scheduler_batch_num_seqs,scheduler_prefill_tokens_ahead,reconstruction_error_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,237,6000.0,769.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,12.947386,0.0,735.332985,0.0,748.280371,1,1,72.641198631,160.672011,1,0,13,1,0.1,0.0,5.0,889192448.0,5303164928.0,4406116352.0,0.5453862801263906,0.046875,9.0,0.0,0.0,76.0,11.0,64479232.0,6198648832.0,0.4531566002792742,1.0849407069603405,0.0,5.0,5303164928.0,4406116352.0,0.5453862801263906,0.046875,0.0,1.0,0.0,0.0,2043.0,5.0,6.0,0.0,1.1368683772161603e-13
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,273,6000.0,523.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,2.427943,0.0,756.936755,0.0,759.364698,1,1,82.760317813,726.033212,4,0,16,0,0.1,0.0,7.0,855638016.0,3524780032.0,6184501248.0,0.7250937593601161,0.0625,8.0,0.0,0.0,74.0,11.0,53993472.0,7058481152.0,0.3611429149985445,1.0825647667300868,0.0,7.0,3524780032.0,6184501248.0,0.7250937593601161,0.0625,0.0,1.0,0.0,0.0,2041.0,7.0,8.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,249,6000.0,772.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,15.033481,0.0,738.201354,0.0,753.234835,1,1,76.142525598,47.741891,4,0,15,2,0.1,0.0,7.0,889192448.0,3554140160.0,6155141120.0,0.7255257484928894,0.0625,8.0,0.0,0.0,73.0,11.0,51896320.0,7945576448.0,0.273233126479162,1.086236674358661,0.0,7.0,3554140160.0,6155141120.0,0.7255257484928894,0.0625,0.0,1.0,0.0,0.0,2041.0,7.0,8.0,0.0,1.1368683772161603e-13
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,279,6000.0,571.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,171.366013,0.0,755.029983,0.0,926.395996,1,1,84.086451809,29.027373,4,0,20,2,0.1,0.0,9.0,861929472.0,1779949568.0,7929331712.0,0.9054492222930016,0.078125,7.0,0.0,0.0,76.0,11.0,74964992.0,7058481152.0,0.3617908986977046,1.08105280476538,0.0,9.0,1779949568.0,7929331712.0,0.9054492222930016,0.078125,0.0,1.0,0.0,0.0,2039.0,9.0,10.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,282,6000.0,717.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,14.664839,0.0,774.061282,0.0,788.726121,1,1,85.080355174,408.33311,3,1,17,3,0.1,0.0,10.0,880803840.0,918020096.0,8791261184.0,0.9961669401754112,0.0859375,8.0,0.0,0.0,77.0,11.0,127393792.0,7058481152.0,0.3637348497951848,1.077596891703193,0.0,10.0,918020096.0,8791261184.0,0.9961669401754112,0.0859375,0.0,1.0,0.0,0.0,2038.0,10.0,11.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,274,6000.0,770.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,451.171002,0.0,1005.502614,0.0,1456.673616,1,1,82.801144206,40.826393,4,1,17,1,0.1,0.0,8.0,889192448.0,2669142016.0,7040139264.0,0.8166754555080724,0.0703125,8.0,0.0,0.0,75.0,11.0,53993472.0,7058481152.0,0.3645988280607316,1.086020679792274,0.0,8.0,2669142016.0,7040139264.0,0.8166754555080724,0.0703125,0.0,1.0,0.0,0.0,2041.0,7.0,9.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,0,6000.0,658.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,0.0,0.0,676.342498,0.0,676.342498,1,1,0.0,0.0,0,0,0,0,0.07333333333333333,0.0,0.0,874512384.0,9709281280.0,0.0,0.0900697341832494,0.0078125,10.0,0.0,0.0,0.0,0.0,9709281280.0,9709281280.0,0.0900697341832494,0.0900697341832494,0.0,0.0,9709281280.0,0.0,0.0900697341832494,0.0078125,0.0,1.0,0.0,0.0,2048.0,0.0,1.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,8,6000.0,766.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,5.068858,0.0,693.993324,0.0,699.062182,1,1,0.967001454,217.286917,8,1,8,1,0.07333333333333333,0.0,1.0,887095296.0,8834768896.0,874512384.0,0.181435435764819,0.015625,10.0,0.0,0.0,8.0,2.0,7985422336.0,9709281280.0,0.0913657015815695,0.2689132351514282,0.0,1.0,8834768896.0,874512384.0,0.181435435764819,0.015625,0.0,1.0,0.0,0.0,2047.0,1.0,2.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,32,6000.0,590.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,19.070525,0.0,701.455802,0.0,720.526327,1,1,12.732401553,197.102664,2,0,11,0,0.07333333333333333,0.0,2.0,864026624.0,7947673600.0,1761607680.0,0.270425197116135,0.0234375,10.0,0.0,0.0,31.0,5.0,5307359232.0,8851546112.0,0.1773315390034719,0.5423623561969769,0.0,2.0,7947673600.0,1761607680.0,0.270425197116135,0.0234375,0.0,1.0,0.0,0.0,2046.0,2.0,3.0,0.0,-1.1368683772161603e-13
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,57,6000.0,526.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,3.307164,0.0,716.41285,0.0,719.720014,1,1,20.582020974,175.552723,4,0,16,3,0.07333333333333333,0.0,5.0,855638016.0,5307359232.0,4401922048.0,0.5414983779314302,0.046875,10.0,1.0,1.0,43.0,8.0,1842864128.0,9709281280.0,0.0881257830857692,0.8983214016022409,0.0,5.0,5307359232.0,4401922048.0,0.5414983779314302,0.046875,0.0,1.0,0.0,0.0,2043.0,5.0,6.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,39,6000.0,698.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,11.020187,0.0,700.742394,0.0,711.762581,1,1,15.049465752,318.210047,1,0,13,1,0.07333333333333333,0.0,2.0,878706688.0,7958159360.0,1751121920.0,0.2708571862489084,0.0234375,10.0,0.0,0.0,37.0,5.0,5284290560.0,8851546112.0,0.1788435009681787,0.5462502583919373,0.0,2.0,7958159360.0,1751121920.0,0.2708571862489084,0.0234375,0.0,1.0,0.0,0.0,2046.0,2.0,3.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,43,6000.0,745.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,19.468382,0.0,719.646671,0.0,739.115053,1,1,16.672007235,307.995695,2,0,13,2,0.07333333333333333,0.0,3.0,884998144.0,7079452672.0,2629828608.0,0.3620068932640913,0.03125,10.0,0.0,0.0,35.0,6.0,4416069632.0,9709281280.0,0.0911497070151829,0.6363199925751868,0.0,3.0,7079452672.0,2629828608.0,0.3620068932640913,0.03125,0.0,1.0,0.0,0.0,2045.0,3.0,4.0,0.0,0.0
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,44,6000.0,768.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,388.560098,0.0,953.885108,0.0,1342.445206,1,1,16.766586111,94.578876,3,1,14,3,0.07333333333333333,0.0,4.0,887095296.0,6194454528.0,3514826752.0,0.4533725948456609,0.0390625,10.0,0.0,0.0,36.0,6.0,4416069632.0,9709281280.0,0.0913657015815695,0.6365359871415734,0.0,4.0,6194454528.0,3514826752.0,0.4533725948456609,0.0390625,0.0,1.0,0.0,0.0,2045.0,3.0,5.0,0.0,-2.2737367544323206e-13
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,NEAREST_MIGRATE_KV,50,6000.0,767.0,3.0,0.0,0.0,0.0,0.0,0,6000.0,3.326229654655415,19957.377927932488,0,0,0.0,0.0,10.513498,0.0,717.071602,0.0,727.5851,1,1,18.876670916,498.31296,3,0,13,3,0.07333333333333333,0.0,5.0,887095296.0,5307359232.0,4401922048.0,0.5447382964272305,0.046875,10.0,0.0,0.0,40.0,6.0,4418166784.0,9709281280.0,0.0913657015815695,0.6363199925751868,0.0,5.0,5307359232.0,4401922048.0,0.5447382964272305,0.046875,0.0,1.0,0.0,0.0,2043.0,5.0,6.0,0.0,0.0
