feature_set,target,group,feature,coefficient_ms_per_sd,absolute_coefficient
common,compute_prefill_ms,offered_load,global_arrivals_1s,-1.588034444805768,1.588034444805768
common,compute_prefill_ms,offered_load,global_arrivals_5s,-0.6119336783019711,0.6119336783019711
common,compute_prefill_ms,home_cell_load,home_arrivals_1s,15.246824054184234,15.246824054184234
common,compute_prefill_ms,home_cell_load,home_arrivals_5s,1.8830636403052883,1.8830636403052883
common,compute_prefill_ms,home_cell_load,home_workload_share,0.42075340663684013,0.42075340663684013
common,compute_prefill_ms,routing_result,rerouted,0.974789252524451,0.974789252524451
common,compute_prefill_ms,kv_movement,kv_moved,4.946700166988858,4.946700166988858
common,compute_prefill_ms,kv_movement,migration_tokens_realized,-48.17347881805977,48.17347881805977
common,compute_prefill_ms,policy,policy_NEAREST_KV,-0.042759517685625345,0.042759517685625345
common,compute_prefill_ms,policy,policy_NEAREST_MIGRATE,0.7430635322203084,0.7430635322203084
common,compute_prefill_ms,policy,policy_NEAREST_MIGRATE_KV,-0.7003040147357078,0.7003040147357078
common,e2e_ttft_ms,request_demand,input_tokens,-5073.770332943889,5073.770332943889
common,e2e_ttft_ms,request_demand,output_tokens_actual,131.88840967565477,131.88840967565477
common,e2e_ttft_ms,request_demand,minimum_prefill_chunks,5257.403842694462,5257.403842694462
common,e2e_ttft_ms,nominal_reuse,nominal_reuse_tokens,7127.9082498017515,7127.9082498017515
common,e2e_ttft_ms,nominal_reuse,nominal_reuse_ratio,-2105.239654602784,2105.239654602784
common,e2e_ttft_ms,realized_reuse,reuse_tokens_realized,-2181.5391225424673,2181.5391225424673
common,e2e_ttft_ms,realized_reuse,reuse_preservation_ratio,1623.8919483878592,1623.8919483878592
common,e2e_ttft_ms,realized_reuse,reuse_lost,-978.5405947220763,978.5405947220763
common,e2e_ttft_ms,realized_reuse,realized_uncached_tokens,-5221.9142471465,5221.9142471465
common,e2e_ttft_ms,offered_load,request_rate_rps,-888.4288057634124,888.4288057634124
common,e2e_ttft_ms,offered_load,offered_uncached_tokens_per_s,7586.110515629082,7586.110515629082
common,e2e_ttft_ms,offered_load,arrival_offset_s,1356.924124266455,1356.924124266455
common,e2e_ttft_ms,offered_load,interarrival_ms,-70.38053503210207,70.38053503210207
common,e2e_ttft_ms,offered_load,global_arrivals_1s,182.53374736980038,182.53374736980038
common,e2e_ttft_ms,offered_load,global_arrivals_5s,350.42546491160493,350.42546491160493
common,e2e_ttft_ms,home_cell_load,home_arrivals_1s,368.59637308105715,368.59637308105715
common,e2e_ttft_ms,home_cell_load,home_arrivals_5s,-146.3907509039623,146.3907509039623
common,e2e_ttft_ms,home_cell_load,home_workload_share,1611.5942259756057,1611.5942259756057
