feature_set,target,n,mae_ms,r2
common,compute_prefill_ms,15900,33.93393639856083,0.9784697458313986
common,e2e_ttft_ms,15900,3732.894943723816,0.24755660959561043
common,router_queue_ms,15900,3662.4054994936055,0.21517062592581804
common,scheduler_queue_ms,15900,37.606092347615814,0.09946940649758829
state,compute_prefill_ms,3300,57.19406176959246,0.04698348021284138
state,e2e_ttft_ms,3300,94.96546528312604,0.12902418693810913
state,router_queue_ms,3300,117.58500999057993,-2.2431898572402034
state,scheduler_queue_ms,3300,21.871477223933816,0.42860513769493336
