policy,rerouted,router_wait_mean,router_wait_max
Cold migrate,24,0.0,0.0
Wait local,0,0.0,0.0
KV handoff,24,0.0,0.0
Second-TTFT,30,233.31226789000002,8269.491225
Heuristic one-shot,0,1563.3892499566668,24103.831627
"Old formula, no reserve",16,175.53404519333336,11432.170866
Old formula,16,175.53404519333336,11432.170866
Phase1 formula,20,63.94484124,6591.477726
Dynamic formula,24,5.118435466666667,689.141013
Multi-candidate,18,0.0,0.0
