policy,Communication,Router wait,Scheduler queue,Prefill service,Other / staging
Cold migrate,0.04955144,0.0,42.08782916,457.43756556333335,18.967768420000006
Wait local,0.0,0.0,24.383281756666666,416.30749352000004,1563.361327946667
KV handoff,25.386764865420126,0.0,29.94330190124667,426.4826299733333,5.2742254899998775
Second-TTFT,31.733456081775156,233.31226789000002,19.5423744548917,405.07270192,4.278633939999807
Heuristic one-shot,0.0,1563.3892499566668,24.383281756666666,416.30749352000004,-0.027922010000012657
"Old formula, no reserve",16.924509910280083,175.53404519333336,29.216349099719974,424.59167972000006,0.06302209666660531
Old formula,16.924509910280083,175.53404519333336,29.216349099719974,424.59167972000006,0.06302209666660531
Phase1 formula,21.155637387850103,63.94484124,30.492953648816655,426.38797218,0.100718266666575
Dynamic formula,25.386764865420126,5.118435466666667,29.94330190124667,426.4826299733333,0.15579002333320982
Multi-candidate,19.040073649065096,0.0,28.026405690934983,424.5216099733333,0.13359729666659897
