request id,output_toks,user_id,home_gpu,send_time_s,A_target_gpu,A_rerouted,A_e2e_ttft_ms,A_completion_ms,A_prefill_ms,A_queue_wait_ms,B_target_gpu,B_rerouted,B_e2e_ttft_ms,B_completion_ms,B_prefill_ms,B_queue_wait_ms,C_target_gpu,C_rerouted,C_e2e_ttft_ms,C_completion_ms,C_prefill_ms,C_queue_wait_ms,delta_B_minus_A_ttft_ms,delta_C_minus_A_ttft_ms,delta_C_minus_B_ttft_ms,delta_C_minus_B_completion_ms,redirect_group
27,754,8,4,9.7242331,4,0,395.724073,22169.299627,377.615718,18.108355,4,0,395.724073,22169.299627,377.615718,18.108355,4,0,395.724073,22169.299627,377.615718,18.108355,0.0,0.0,0.0,0.0,neither
28,769,3,1,10.95688882,1,0,389.66189,16871.647512,384.157617,5.504273,1,0,389.66189,16871.647512,384.157617,5.504273,1,0,389.66189,16871.647512,384.157617,5.504273,0.0,0.0,0.0,0.0,neither
29,604,4,2,10.975126522,2,0,381.277443,12187.888294,374.286643,6.9908,2,0,381.277443,12187.888294,374.286643,6.9908,2,0,381.277443,12187.888294,374.286643,6.9908,0.0,0.0,0.0,0.0,neither
30,582,1,0,11.665143962,0,0,405.186013,12284.843167,384.306737,20.879276,0,0,405.186013,12284.843167,384.306737,20.879276,0,0,405.186013,12284.843167,384.306737,20.879276,0.0,0.0,0.0,0.0,neither
31,770,8,4,13.812795204,4,0,384.34462,24938.282249,381.542961,2.801659,4,0,384.34462,24014.407025,381.542961,2.801659,4,0,384.34462,24014.407025,381.542961,2.801659,0.0,0.0,0.0,0.0,neither
32,743,19,9,14.408086154,9,0,382.157282,17206.6477,374.787347,7.369935,9,0,382.157282,17206.6477,374.787347,7.369935,9,0,382.157282,17206.6477,374.787347,7.369935,0.0,0.0,0.0,0.0,neither
33,769,6,3,14.611505952,3,0,392.758086,16018.922848,381.992401,10.765685,3,0,392.758086,16018.922848,381.992401,10.765685,3,0,392.758086,16018.922848,381.992401,10.765685,0.0,0.0,0.0,0.0,neither
34,535,13,6,15.021470722,6,0,391.352254,11233.123222,378.014406,13.337848,6,0,391.352254,11233.123222,378.014406,13.337848,6,0,391.352254,11233.123222,378.014406,13.337848,0.0,0.0,0.0,0.0,neither
35,724,9,4,15.21539171,4,0,396.39799,24392.958444,384.172305,12.225685,4,0,396.39799,22735.11999,384.172305,12.225685,4,0,396.39799,22735.11999,384.172305,12.225685,0.0,0.0,0.0,0.0,neither
36,765,8,4,16.170499508,4,0,408.611718,25666.960998,388.838344,19.773374,4,0,408.611718,23340.496013,388.838344,19.773374,4,0,408.611718,23340.496013,388.838344,19.773374,0.0,0.0,0.0,0.0,neither
