gpu_id,instance_id,gpu_x_m,gpu_y_m,zone
0,0,59.9584106288328,194.5793183026169,campus
1,1,179.8752318864984,194.5793183026169,campus
2,2,299.792053144164,194.5793183026169,campus
3,3,419.70887440182963,194.5793183026169,campus
4,4,59.9584106288328,583.7379549078507,campus
5,5,179.8752318864984,583.7379549078507,campus
6,6,299.792053144164,583.7379549078507,campus
7,7,419.70887440182963,583.7379549078507,campus
8,8,59.9584106288328,972.8965915130844,campus
9,9,179.8752318864984,972.8965915130844,campus
10,10,299.792053144164,972.8965915130844,campus
11,11,419.70887440182963,972.8965915130844,campus
12,12,565.6433631287923,194.5793183026169,residential
13,13,737.595519325052,194.5793183026169,residential
14,14,909.5476755213117,194.5793183026169,residential
15,15,1081.4998317175716,194.5793183026169,residential
16,16,565.6433631287923,583.7379549078507,residential
17,17,737.595519325052,583.7379549078507,residential
18,18,909.5476755213117,583.7379549078507,residential
19,19,1081.4998317175716,583.7379549078507,residential
20,20,565.6433631287923,972.8965915130844,residential
21,21,737.595519325052,972.8965915130844,residential
22,22,909.5476755213117,972.8965915130844,residential
23,23,1081.4998317175716,972.8965915130844,residential
