gpu_id,instance_id,gpu_x_m,gpu_y_m
0,0,1666.667,2113.249
1,1,5000.0,2113.249
2,2,8333.333,2113.249
3,3,0.0,5000.0
4,4,3333.333,5000.0
5,5,6666.667,5000.0
6,6,10000.0,5000.0
7,7,1666.667,7886.751
8,8,5000.0,7886.751
9,9,8333.333,7886.751
