prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,9.472
0,0,1,32,9.50433
0,0,1,64,9.62167
0,0,1,128,13.3127
0,0,1,256,13.4727
0,0,1,512,13.8353
0,0,1,1024,14.5707
0,0,1,2048,20.832
0,0,1,4096,25.4723
0,0,1,8192,38.4867
0,0,1,16384,57.6757
0,0,2,16,14.4003
0,0,2,32,14.4427
0,0,2,64,14.56
0,0,2,128,17.3337
0,0,2,256,17.9417
0,0,2,512,19.595
0,0,2,1024,26.0157
0,0,2,2048,38.198
0,0,2,4096,53.7727
0,0,2,8192,88.151
0,0,2,16384,161.283
0,0,4,16,14.763
0,0,4,32,14.955
0,0,4,64,15.1897
0,0,4,128,17.878
0,0,4,256,19.3387
0,0,4,512,25.3337
0,0,4,1024,37.8037
0,0,4,2048,53.2597
0,0,4,4096,91.457
0,0,4,8192,159.928
0,0,4,16384,304.944
0,0,8,16,15.0823
0,0,8,32,15.4563
0,0,8,64,16.1287
0,0,8,128,19.5203
0,0,8,256,25.654
0,0,8,512,37.0673
0,0,8,1024,51.9893
0,0,8,2048,86.668
0,0,8,4096,160.59
0,0,8,8192,302.778
0,0,8,16384,585.663
0,0,16,16,15.4243
0,0,16,32,16.2773
0,0,16,64,17.7177
0,0,16,128,27.062
0,0,16,256,37.238
0,0,16,512,54.0167
0,0,16,1024,90.3487
0,0,16,2048,164.365
0,0,16,4096,305.616
0,0,16,8192,589.929
0,0,16,16384,1147.22
0,0,32,16,21.6963
0,0,32,32,23.1147
0,0,32,64,25.387
0,0,32,128,37.12
0,0,32,256,55.6497
0,0,32,512,91.6707
0,0,32,1024,166.563
0,0,32,2048,307.995
0,0,32,4096,589.397
0,0,32,8192,1157.57
0,0,32,16384,2280.53
0,0,64,16,33.504
0,0,64,32,35.1357
0,0,64,64,37.8353
0,0,64,128,57.4403
0,0,64,256,95.5107
0,0,64,512,173.528
0,0,64,1024,317.136
0,0,64,2048,602.517
0,0,64,4096,1162.3
0,0,64,8192,2296.01
0,0,64,16384,4538.28
0,0,128,16,57.3453
0,0,128,32,59.1907
0,0,128,64,62.0167
0,0,128,128,102.039
0,0,128,256,180.493
0,0,128,512,327.526
0,0,128,1024,612.489
0,0,128,2048,1186.21
0,0,128,4096,2305.33
0,0,128,8192,4577.33
0,0,128,16384,9060.36
0,0,256,16,105.431
0,0,256,32,107.682
0,0,256,64,113.527
0,0,256,128,202.745
0,0,256,256,345.391
0,0,256,512,639.509
0,0,256,1024,1206.79
0,0,256,2048,2341.66
0,0,256,4096,4582.23
0,0,256,8192,9100.54
0,0,256,16384,18051.6
16,0,0,0,10.4217
16,0,1,16,10.6563
16,0,1,32,10.6133
16,0,1,64,10.56
16,0,1,128,13.7497
16,0,1,256,17.8987
16,0,1,512,26.283
16,0,1,1024,42.9343
16,0,1,2048,76.4173
16,0,1,4096,143.01
16,0,1,8192,276.848
16,0,1,16384,543.955
16,0,2,16,15.894
16,0,2,32,15.9367
16,0,2,64,16.0213
16,0,2,128,22.7733
16,0,2,256,30.806
16,0,2,512,47.3077
16,0,2,1024,64.6407
16,0,2,2048,96.737
16,0,2,4096,162.104
16,0,2,8192,291.354
16,0,2,16384,549.064
16,0,4,16,21.0993
16,0,4,32,21.4083
16,0,4,64,21.5787
16,0,4,128,32.022
16,0,4,256,43.926
16,0,4,512,65.1107
16,0,4,1024,97.3347
16,0,4,2048,162.115
16,0,4,4096,291.898
16,0,4,8192,551.348
16,0,4,16384,1074.81
16,0,8,16,31.798
16,0,8,32,32.2243
16,0,8,64,32.6937
16,0,8,128,50.5713
16,0,8,256,70.3477
16,0,8,512,105.975
16,0,8,1024,170.478
