pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0911,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1279,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.1098,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0515,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0633,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0332,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0211,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0421,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0023,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0056,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.0559,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0084,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.0684,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.229,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.1988,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0027,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0026,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0026,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0027,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0021,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0026,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0672,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0642,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0757,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0691,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0706,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0696,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,-0.0113,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,-0.0096,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,-0.0123,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,-0.0104,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,-0.0132,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0113,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,0.0012,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0015,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,0.0013,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.0009,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.0009,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.0012,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.089,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0875,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0941,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0988,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.094,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0926,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0192,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0158,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0159,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0189,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0163,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0175,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0036,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0038,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0036,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0038,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.003,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0039,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0146,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.026,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0158,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.015,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0167,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0141,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0048,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0044,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0006,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0028,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,-0.0005,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0021,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0002,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.0001,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0002,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0003,2
