prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,32,12.544
16,16,4,64,12.7467
16,16,4,128,13.8773
16,16,4,256,15.136
16,16,4,512,17.2907
16,16,4,1024,19.6053
16,16,4,2048,27.6697
16,16,4,4096,36.1067
16,16,4,8192,53.1413
16,16,4,16384,88.107
16,16,8,16,12.512
16,16,8,32,12.544
16,16,8,64,12.512
16,16,8,128,13.824
16,16,8,256,14.816
16,16,8,512,24.3947
16,16,8,1024,27.7333
16,16,8,2048,37.835
16,16,8,4096,56.0533
16,16,8,8192,89.6537
16,16,8,16384,160.96
16,16,16,16,15.5093
16,16,16,32,15.9787
16,16,16,64,16.2773
16,16,16,128,18.1657
16,16,16,256,19.936
16,16,16,512,27.9787
16,16,16,1024,37.76
16,16,16,2048,54.2827
16,16,16,4096,88.48
16,16,16,8192,159.392
16,16,16,16384,300.502
16,16,32,16,17.28
16,16,32,32,17.376
16,16,32,64,18.2827
16,16,32,128,21.1627
16,16,32,256,26.1333
16,16,32,512,38.0697
16,16,32,1024,56.6617
16,16,32,2048,91.8723
16,16,32,4096,161.686
16,16,32,8192,300.961
16,16,32,16384,582.167
16,16,64,16,24.0853
16,16,64,32,24.598
16,16,64,64,26.4107
16,16,64,128,31.4987
16,16,64,256,39.5947
16,16,64,512,60.5013
16,16,64,1024,96.523
16,16,64,2048,164.896
16,16,64,4096,304.396
16,16,64,8192,578.839
16,16,64,16384,1134.98
16,16,128,16,37.8457
16,16,128,32,38.2507
16,16,128,64,39.4133
16,16,128,128,50.8053
16,16,128,256,65.408
16,16,128,512,105.867
16,16,128,1024,174.156
16,16,128,2048,310.956
16,16,128,4096,582.785
16,16,128,8192,1134.78
16,16,128,16384,2244.17
16,32,0,0,12.1707
16,32,1,16,12.1173
16,32,1,32,12.2133
16,32,1,64,12.2987
16,32,1,128,13.3547
16,32,1,256,14.336
16,32,1,512,15.4667
16,32,1,1024,16.192
16,32,1,2048,17.3017
16,32,1,4096,20.4693
16,32,1,8192,25.376
16,32,1,16384,34.5493
16,32,2,16,12.5013
16,32,2,32,12.384
16,32,2,64,12.629
16,32,2,128,13.7173
16,32,2,256,14.9333
16,32,2,512,15.68
16,32,2,1024,17.163
16,32,2,2048,19.7547
16,32,2,4096,24.3843
16,32,2,8192,37.6107
16,32,2,16384,55.5413
16,32,4,16,12.6933
16,32,4,32,12.6187
16,32,4,64,12.8107
16,32,4,128,13.984
16,32,4,256,14.912
16,32,4,512,17.344
16,32,4,1024,19.52
16,32,4,2048,27.9893
16,32,4,4096,36.5547
16,32,4,8192,54.1763
16,32,4,16384,88.0107
16,32,8,16,12.608
16,32,8,32,12.747
16,32,8,64,12.5227
16,32,8,128,13.856
16,32,8,256,14.784
16,32,8,512,24.5227
16,32,8,1024,28.288
16,32,8,2048,38.2827
16,32,8,4096,55.766
16,32,8,8192,89.3443
16,32,8,16384,160.353
16,32,16,16,15.8933
16,32,16,32,16.032
16,32,16,64,16.491
16,32,16,128,18.4107
16,32,16,256,19.7653
16,32,16,512,27.7977
16,32,16,1024,38.1973
16,32,16,2048,54.454
16,32,16,4096,89.419
16,32,16,8192,159.841
16,32,16,16384,301.26
16,32,32,16,17.3973
16,32,32,32,17.3013
16,32,32,64,18.3467
16,32,32,128,21.0453
16,32,32,256,26.464
16,32,32,512,38.2933
16,32,32,1024,56.4373
16,32,32,2048,91.499
16,32,32,4096,161.28
16,32,32,8192,299.35
16,32,32,16384,586.326
16,32,64,16,24.2453
16,32,64,32,25.0243
16,32,64,64,26.1337
16,32,64,128,31.3813
16,32,64,256,39.7333
16,32,64,512,61.5893
16,32,64,1024,96.5333
16,32,64,2048,164.694
16,32,64,4096,304.684
16,32,64,8192,579.639
16,32,64,16384,1135.83
16,32,128,16,38.336
16,32,128,32,38.144
16,32,128,64,39.1573
16,32,128,128,51.584
16,32,128,256,65.707
16,32,128,512,105.472
16,32,128,1024,173.654
16,32,128,2048,310.689
16,32,128,4096,582.007
16,32,128,8192,1135.89
16,32,128,16384,2242.02
16,64,0,0,12.2453
16,64,1,16,12.032
16,64,1,32,12.2137
16,64,1,64,12.1707
16,64,1,128,13.2053
16,64,1,256,14.315
16,64,1,512,15.8293
16,64,1,1024,15.968
16,64,1,2048,17.1307
16,64,1,4096,19.9253
16,64,1,8192,25.3013
16,64,1,16384,34.8267
16,64,2,16,12.7253
16,64,2,32,12.4693
16,64,2,64,12.6187
16,64,2,128,13.6213
16,64,2,256,14.784
16,64,2,512,15.51
16,64,2,1024,16.9707
16,64,2,2048,19.6373
16,64,2,4096,24.704
16,64,2,8192,36.9707
16,64,2,16384,54.528
16,64,4,16,12.7467
16,64,4,32,12.7897
16,64,4,64,12.576
16,64,4,128,13.8777
16,64,4,256,14.9227
16,64,4,512,17.5787
16,64,4,1024,19.872
16,64,4,2048,27.9253
16,64,4,4096,36.3307
16,64,4,8192,53.0243
16,64,4,16384,88.8
16,64,8,16,12.48
16,64,8,32,12.5227
16,64,8,64,12.608
16,64,8,128,13.7707
16,64,8,256,15.072
16,64,8,512,24.2243
16,64,8,1024,28.5977
16,64,8,2048,38.432
16,64,8,4096,55.0507
16,64,8,8192,90.1973
16,64,8,16384,159.872
16,64,16,16,15.616
16,64,16,32,16.1493
16,64,16,64,16.2773
16,64,16,128,18.2507
16,64,16,256,19.872
16,64,16,512,28.512
16,64,16,1024,37.6427
16,64,16,2048,54.0487
16,64,16,4096,88.672
16,64,16,8192,159.84
16,64,16,16384,299.585
16,64,32,16,17.3333
16,64,32,32,17.515
16,64,32,64,18.5067
16,64,32,128,21.2373
16,64,32,256,25.632
16,64,32,512,37.8453
16,64,32,1024,56.8
16,64,32,2048,91.4987
16,64,32,4096,160.875
16,64,32,8192,299.243
16,64,32,16384,582.583
16,64,64,16,24.0107
16,64,64,32,24.832
16,64,64,64,26.048
16,64,64,128,31.1893
16,64,64,256,39.2747
16,64,64,512,60.4483
16,64,64,1024,97.5253
16,64,64,2048,164.299
16,64,64,4096,303.329
16,64,64,8192,578.402
16,64,64,16384,1136.14
16,64,128,16,38.1653
16,64,128,32,38.2617
16,64,128,64,39.4567
16,64,128,128,50.9123
16,64,128,256,65.376
16,64,128,512,105.035
16,64,128,1024,174.678
16,64,128,2048,309.857
16,64,128,4096,582.242
16,64,128,8192,1133.3
16,64,128,16384,2243.31
16,128,0,0,13.3867
16,128,1,16,13.3333
16,128,1,32,13.1947
16,128,1,64,13.2267
16,128,1,128,13.1947
16,128,1,256,14.304
16,128,1,512,16.8107
16,128,1,1024,16.48
16,128,1,2048,17.1733
16,128,1,4096,20.192
16,128,1,8192,25.2907
16,128,1,16384,34.9013
16,128,2,16,13.1093
16,128,2,32,13.1733
16,128,2,64,13.067
16,128,2,128,13.6747
16,128,2,256,14.7947
16,128,2,512,16.2347
16,128,2,1024,17.0347
16,128,2,2048,19.456
16,128,2,4096,24.448
16,128,2,8192,39.3173
16,128,2,16384,56.032
16,128,4,16,13.3227
16,128,4,32,13.2053
16,128,4,64,13.312
16,128,4,128,13.9413
16,128,4,256,14.8907
16,128,4,512,17.4933
16,128,4,1024,20.1173
16,128,4,2048,29.6853
16,128,4,4096,38.5173
16,128,4,8192,55.403
16,128,4,16384,88.256
16,128,8,16,13.0773
16,128,8,32,13.216
16,128,8,64,13.152
16,128,8,128,13.9307
16,128,8,256,15.2213
16,128,8,512,25.4187
16,128,8,1024,29.8133
16,128,8,2048,40.4907
16,128,8,4096,57.504
16,128,8,8192,91.4453
16,128,8,16384,160.609
16,128,16,16,15.8187
16,128,16,32,16.3203
16,128,16,64,16.3633
16,128,16,128,20.0427
16,128,16,256,22.134
16,128,16,512,31.0933
16,128,16,1024,39.9787
16,128,16,2048,56.7257
16,128,16,4096,89.6647
16,128,16,8192,160.001
16,128,16,16384,300.876
16,128,32,16,17.3763
16,128,32,32,17.7493
16,128,32,64,18.3893
16,128,32,128,21.9413
16,128,32,256,26.315
16,128,32,512,38.6133
16,128,32,1024,56.8433
16,128,32,2048,91.9897
16,128,32,4096,161.611
16,128,32,8192,299.489
16,128,32,16384,581.281
16,128,64,16,24.3097
16,128,64,32,24.907
16,128,64,64,25.568
16,128,64,128,32.2027
16,128,64,256,41.088
16,128,64,512,61.6643
16,128,64,1024,96.9603
16,128,64,2048,165.217
16,128,64,4096,304.054
16,128,64,8192,580.855
16,128,64,16384,1133.17
16,128,128,16,38.1757
16,128,128,32,38.3787
16,128,128,64,39.5733
16,128,128,128,52.704
16,128,128,256,66.443
16,128,128,512,107.563
16,128,128,1024,173.302
16,128,128,2048,308.918
16,128,128,4096,583.383
16,128,128,8192,1134.32
16,128,128,16384,2243.01
16,256,0,0,14.2933
16,256,1,16,14.4747
16,256,1,32,14.176
16,256,1,64,14.3147
16,256,1,128,14.3043
16,256,1,256,14.1653
16,256,1,512,16.3627
16,256,1,1024,16.9813
16,256,1,2048,18.6883
16,256,1,4096,20.288
16,256,1,8192,25.536
16,256,1,16384,35.4133
16,256,2,16,14.1867
16,256,2,32,14.1333
16,256,2,64,14.048
16,256,2,128,14.24
16,256,2,256,14.944
16,256,2,512,16.768
16,256,2,1024,17.9413
16,256,2,2048,20.1707
16,256,2,4096,24.8213
16,256,2,8192,38.5493
16,256,2,16384,58.0057
16,256,4,16,14.2617
16,256,4,32,14.272
16,256,4,64,14.336
16,256,4,128,14.208
16,256,4,256,14.9227
16,256,4,512,18.272
16,256,4,1024,19.9573
16,256,4,2048,28.7787
16,256,4,4096,39.7973
16,256,4,8192,56.3627
16,256,4,16384,90.5603
16,256,8,16,14.1333
16,256,8,32,13.9947
16,256,8,64,14.2933
16,256,8,128,14.1227
16,256,8,256,15.1893
16,256,8,512,25.7067
16,256,8,1024,31.1893
16,256,8,2048,41.2373
16,256,8,4096,57.8027
16,256,8,8192,93.44
16,256,8,16384,160.641
16,256,16,16,15.84
16,256,16,32,15.8187
16,256,16,64,16.224
16,256,16,128,19.51
16,256,16,256,23.8187
16,256,16,512,31.5733
16,256,16,1024,42.592
16,256,16,2048,58.5387
16,256,16,4096,90.5923
16,256,16,8192,160.544
16,256,16,16384,303.052
16,256,32,16,18.7093
16,256,32,32,18.9227
16,256,32,64,19.7977
16,256,32,128,21.8027
16,256,32,256,27.296
16,256,32,512,38.8693
16,256,32,1024,57.1093
16,256,32,2048,92.6617
16,256,32,4096,161.643
16,256,32,8192,301.878
16,256,32,16384,582.775
16,256,64,16,24.3097
16,256,64,32,24.8853
16,256,64,64,26.0267
16,256,64,128,31.776
16,256,64,256,41.3227
16,256,64,512,62.3787
16,256,64,1024,96.8533
16,256,64,2048,165.014
16,256,64,4096,303.158
16,256,64,8192,578.914
16,256,64,16384,1136.79
16,256,128,16,38.1653
16,256,128,32,38.6133
16,256,128,64,39.595
16,256,128,128,51.7657
16,256,128,256,67.072
16,256,128,512,107.957
16,256,128,1024,175.552
16,256,128,2048,310.955
16,256,128,4096,582.199
16,256,128,8192,1133.5
16,256,128,16384,2243.82
16,512,0,0,17.2907
16,512,1,16,16.971
16,512,1,32,17.0667
16,512,1,64,16.9493
16,512,1,128,17.2267
16,512,1,256,17.0773
16,512,1,512,16.6827
16,512,1,1024,17.2587
16,512,1,2048,18.443
16,512,1,4096,20.736
16,512,1,8192,25.44
16,512,1,16384,36.0107
16,512,2,16,16.8107
16,512,2,32,16.9813
16,512,2,64,16.8533
16,512,2,128,16.4587
16,512,2,256,16.8747
16,512,2,512,17.952
16,512,2,1024,18.2293
16,512,2,2048,20.4373
16,512,2,4096,25.1737
16,512,2,8192,39.2533
16,512,2,16384,59.8617
16,512,4,16,17.024
16,512,4,32,17.0347
16,512,4,64,17.0453
16,512,4,128,17.536
16,512,4,256,18.5387
16,512,4,512,18.3147
16,512,4,1024,20.8107
16,512,4,2048,30.1333
16,512,4,4096,43.1253
16,512,4,8192,59.1147
16,512,4,16384,92.7367
16,512,8,16,17.1413
16,512,8,32,17.2053
16,512,8,64,17.3013
16,512,8,128,18.2827
16,512,8,256,23.7333
16,512,8,512,25.824
16,512,8,1024,32.0213
16,512,8,2048,44.0747
16,512,8,4096,61.5473
16,512,8,8192,96.107
16,512,8,16384,165.547
16,512,16,16,21.1733
16,512,16,32,21.3973
16,512,16,64,21.8133
16,512,16,128,25.2907
16,512,16,256,27.808
16,512,16,512,33.536
16,512,16,1024,44.896
16,512,16,2048,61.3123
16,512,16,4096,95.723
16,512,16,8192,160.225
16,512,16,16384,302.337
16,512,32,16,24.6507
16,512,32,32,25.0347
16,512,32,64,25.9627
16,512,32,128,27.2857
16,512,32,256,31.616
16,512,32,512,39.8403
16,512,32,1024,57.365
16,512,32,2048,92.3523
16,512,32,4096,161.974
16,512,32,8192,302.934
16,512,32,16384,583.159
16,512,64,16,27.9147
16,512,64,32,28.491
16,512,64,64,29.6
16,512,64,128,35.5307
16,512,64,256,45.6957
16,512,64,512,63.1043
16,512,64,1024,97.5897
16,512,64,2048,165.238
16,512,64,4096,303.116
16,512,64,8192,580.439
16,512,64,16384,1137.91
16,512,128,16,43.2
16,512,128,32,43.328
16,512,128,64,44.9923
16,512,128,128,57.963
16,512,128,256,73.1523
16,512,128,512,108.534
16,512,128,1024,176.832
16,512,128,2048,308.577
16,512,128,4096,583.512
16,512,128,8192,1133.71
16,512,128,16384,2250.18
16,1024,0,0,17.3227
16,1024,1,16,17.4507
16,1024,1,32,17.472
16,1024,1,64,17.6747
16,1024,1,128,17.344
16,1024,1,256,17.4507
16,1024,1,512,17.888
16,1024,1,1024,17.7707
16,1024,1,2048,18.987
16,1024,1,4096,21.6323
16,1024,1,8192,26.656
16,1024,1,16384,36.2773
16,1024,2,16,17.1413
16,1024,2,32,17.3653
16,1024,2,64,17.2377
16,1024,2,128,17.5893
16,1024,2,256,17.7283
16,1024,2,512,18.3043
16,1024,2,1024,18.5387
16,1024,2,2048,21.4623
16,1024,2,4096,26.0057
16,1024,2,8192,35.68
16,1024,2,16384,65.4297
16,1024,4,16,17.8453
16,1024,4,32,17.9307
16,1024,4,64,17.8347
16,1024,4,128,18.304
16,1024,4,256,18.784
16,1024,4,512,23.2747
16,1024,4,1024,21.7493
16,1024,4,2048,26.4
16,1024,4,4096,44.16
16,1024,4,8192,65.7283
16,1024,4,16384,98.699
16,1024,8,16,18.3893
16,1024,8,32,18.3893
16,1024,8,64,18.5707
16,1024,8,128,18.4533
16,1024,8,256,19.872
16,1024,8,512,26.9443
16,1024,8,1024,32.8107
16,1024,8,2048,46.5817
16,1024,8,4096,65.7603
16,1024,8,8192,101.046
16,1024,8,16384,169.004
16,1024,16,16,21.6533
16,1024,16,32,21.76
16,1024,16,64,22.5497
16,1024,16,128,25.152
16,1024,16,256,27.9893
16,1024,16,512,34.688
16,1024,16,1024,48.3523
16,1024,16,2048,67.2747
16,1024,16,4096,99.8187
16,1024,16,8192,165.121
16,1024,16,16384,302.614
16,1024,32,16,24.9817
16,1024,32,32,25.5253
16,1024,32,64,26.4427
16,1024,32,128,30.0373
16,1024,32,256,37.2053
16,1024,32,512,44.2347
16,1024,32,1024,57.8027
16,1024,32,2048,92.96
16,1024,32,4096,161.686
16,1024,32,8192,302.935
16,1024,32,16384,586.06
16,1024,64,16,31.4133
16,1024,64,32,31.7977
16,1024,64,64,32.48
16,1024,64,128,38.1337
16,1024,64,256,45.7173
16,1024,64,512,62.6773
16,1024,64,1024,99.286
16,1024,64,2048,165.472
16,1024,64,4096,302.924
16,1024,64,8192,582.199
16,1024,64,16384,1136.27
16,1024,128,16,43.9043
16,1024,128,32,44.2347
16,1024,128,64,45.4827
16,1024,128,128,57.8773
16,1024,128,256,74.3147
16,1024,128,512,108.31
16,1024,128,1024,178.966
16,1024,128,2048,311.009
16,1024,128,4096,583.969
16,1024,128,8192,1135.75
16,1024,128,16384,2244.85
16,2048,0,0,18.592
16,2048,1,16,18.88
16,2048,1,32,18.7947
16,2048,1,64,18.9013
16,2048,1,128,18.7627
16,2048,1,256,19.2107
16,2048,1,512,18.9333
