pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,-0.0127,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.3213,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0241,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.1107,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.733,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.219,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.2225,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.442,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.2547,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,0.0086,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.3067,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0308,2
0,n<=8,sr>70%,kvB<=16k,kp=0,1.0851,4
0,n<=8,sr>70%,kvB<=1k,kp=0,1.3484,4
0,n<=8,sr>70%,kvB<=4k,kp=0,1.3727,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0005,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,-0.0006,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,-0.0002,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0009,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,-0.0016,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0006,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.051,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.043,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0325,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0525,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0454,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.1053,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0037,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0062,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0059,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.005,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0034,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0095,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.0028,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0037,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0024,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0009,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0035,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.001,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0774,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0844,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0842,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0788,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0875,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.1607,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0151,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0066,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0099,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0019,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0071,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0051,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0047,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0044,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.006,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0049,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0047,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0053,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0246,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0201,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,-0.0081,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0101,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.0039,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0779,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0168,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0158,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0123,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0145,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,-0.006,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0168,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0034,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.005,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0025,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.0003,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0027,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,0.0002,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0344,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0441,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0408,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0602,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0004,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.1262,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0153,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0199,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,-0.0111,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0169,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.03,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0142,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0046,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.0033,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0065,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0071,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.0211,4
16,n<=128,sr>70%,kvB<=16k,kp=0,-0.0045,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.2826,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.2487,4
