test_scenario,n,n_positive,positive_rate,roc_auc,pr_auc,brier,precision_at_0p5,recall_at_0p5,positive_log_mae,positive_mae_ms,expected_mae_ms,hard_mae_ms,expected_r2,hard_r2
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,900,0,0.0,,,1.239248480782003e-08,0.0,0.0,,,1.1568201599743372e-05,0.0,0.0,1.0
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,900,60,0.06666666666666667,1.0,1.0,0.008671065197626001,0.8333333333333334,1.0,0.4037669980370489,1004.5917215946123,68.50804063057895,67.06522339439137,0.6918265303472866,0.6896241320571884
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,900,143,0.15888888888888889,0.9998983843105376,0.9995004995004995,0.009555352328150843,0.9466666666666667,0.993006993006993,0.44337452722236853,1385.7676247424247,219.13435070179227,220.8443100410317,0.9216738558646125,0.9234340715859849
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,600,52,0.08666666666666667,1.0,1.0,0.005746774567894084,0.9454545454545454,1.0,0.3763011991169637,2266.481173546905,187.6485272145133,196.47132519653752,0.8004850077854004,0.7960894225696603
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,900,424,0.4711111111111111,0.9946289836689393,0.9939657671060167,0.057544121304612825,0.8600405679513184,1.0,0.45599370024384467,3632.495768627834,1725.3794673305306,1711.6393564187224,0.6980546289759095,0.6998262262379726
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,900,245,0.2722222222222222,1.0,1.0,0.004738466595616582,1.0,1.0,0.43605935677342295,2088.064477819094,597.2037002052705,568.417552295198,0.8347534638454719,0.8376700620960105
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,900,133,0.14777777777777779,1.0,1.0000000000000002,0.003200868920184879,1.0,1.0,0.4739036713027884,1340.2932852915867,183.4791067369613,198.06556327086776,0.8699300488358797,0.8650146023600909
