test_scenario,group,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_initial_state,0.10930951885774182,0.0786423548572685,93.67192909468568
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,router_decision_state,0.0013697122333580919,1.034913870050996,251.8896226200957
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,scheduler_state,0.00042956604986392477,0.01029331493359753,2.845972558723247
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,request_demand,-0.0031737635070112798,-0.009620067439277902,-12.170435407943046
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,nominal_reuse,-0.001366894172339251,0.0,-1.3608598181924663
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,realized_reuse,-0.0004100712615105334,-0.0017162736080029717,0.1769487872745117
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,offered_load,0.0016090794451547145,-0.013695259076038302,-25.49023778587886
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,home_cell_load,0.0017201119281284837,0.001349136400960238,5.946209567480594
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,policy,0.0009634799053946513,0.01254487974924201,8.208143539930802
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,routing_result,-0.003320997575620977,-0.012380859007574685,-22.807727197655083
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,kv_movement,0.00037691468708694886,0.0,0.22356969048806263
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_initial_state,0.059169398049283214,0.022296092614948748,-29.335105091122472
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,router_decision_state,0.0022157349357221946,0.43757045284987495,67.64450721406752
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,scheduler_state,0.0003987481620778034,0.01611730740661549,14.050304525057129
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,request_demand,0.017719722872482607,-0.03345536053641662,-127.50726382349103
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,nominal_reuse,0.0008615724745607567,0.006003641769511792,10.97768584506025
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,realized_reuse,0.0019205373087866073,0.017861814062228587,19.78318914078909
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,offered_load,0.04765271741535504,-0.03038535279223159,-85.03335563190808
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,home_cell_load,0.036829526396654655,0.0006051697155728397,-22.568846164542265
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,policy,-0.03135997313675609,0.009027169728410056,40.58403431752731
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,routing_result,0.030506222217742435,0.0722880680564928,130.484021805029
