test_scenario,full_classifier_logloss,raw_classifier_logloss,full_positive_log_mae,raw_positive_log_mae,full_composite_mae_ms,raw_composite_mae_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,1.1189679207451528e-05,0.0001302815351766058,,,1.1568201599743372e-05,0.00012092821894614448
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,0.030103619394054305,0.04561039887132159,0.4037669980370489,0.35845472612147594,68.50804063057895,65.22075911239368
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1,0.03809376609289283,0.05372673524758188,0.44337452722236853,0.46478394508140486,219.13435070179227,270.4541142722892
2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1,0.02135695546493722,0.024783728543756826,0.3763011991169637,0.34563831753881735,187.6485272145133,161.25909203101816
2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1,0.2022314584960445,0.278632728057815,0.45599370024384467,0.468363835284109,1725.3794673305306,1750.8032723813894
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1,0.02991225938711304,0.04771823022153936,0.43605935677342295,0.4423053991403947,597.2037002052705,641.9012028406142
2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1,0.02115331002421566,0.047468630976724456,0.4739036713027884,0.48140365085837344,183.4791067369613,183.47718357934875
