group,metric,mean,ci95_low,ci95_high,n_scenarios
home_cell_load,classifier_logloss_increase,0.00591511803267193,0.00015517840319836856,0.016356305078503636,7
home_cell_load,positive_log_mae_increase,-6.019757768114623e-05,-0.007127275346014271,0.008710689569512152,7
home_cell_load,composite_mae_increase_ms,-1.3483518762945674,-10.942691906416,9.357679216377695,7
kv_movement,classifier_logloss_increase,9.342803819859297e-05,-0.00019772542925531708,0.00042422752308795197,7
kv_movement,positive_log_mae_increase,-3.6005739851019403e-06,-1.080172195530582e-05,0.0,7
kv_movement,composite_mae_increase_ms,-0.1390560802390532,-0.35010370854590117,0.04321296327916941,7
nominal_reuse,classifier_logloss_increase,0.00011908909647890394,-0.00042435592814621853,0.0005307426487049222,7
nominal_reuse,positive_log_mae_increase,0.0009039298568332318,-0.00029003131425620055,0.003001820884755896,7
nominal_reuse,composite_mae_increase_ms,1.121603285055095,-1.1063391518795307,4.709998319977093,7
offered_load,classifier_logloss_increase,0.006088053639525228,-0.002142818441606948,0.020365197310353505,7
offered_load,positive_log_mae_increase,-0.015999881122390324,-0.03837312576468033,0.006586142050062148,7
offered_load,composite_mae_increase_ms,-6.050702246075438,-36.62432723927929,18.196296985000156,7
policy,classifier_logloss_increase,-0.0031556503298585626,-0.013071903960027192,0.002725460944135254,7
policy,positive_log_mae_increase,-0.00039126447844200124,-0.015612686392792965,0.010390600369172373,7
policy,composite_mae_increase_ms,3.7962073789834716,-5.268713029319257,17.45663625548958,7
realized_reuse,classifier_logloss_increase,0.00043863094028416186,-2.104803178686497e-05,0.0009915333898891253,7
realized_reuse,positive_log_mae_increase,0.007365627141218263,-0.00042955399666205096,0.01659554194380463,7
realized_reuse,composite_mae_increase_ms,7.982698830836381,0.23773820140418117,17.926137860728126,7
request_demand,classifier_logloss_increase,0.003632913626846114,-0.00012938800975165586,0.00892813653125659,7
request_demand,positive_log_mae_increase,-0.008139587400789627,-0.020054366903099696,0.0027868172088467104,7
request_demand,composite_mae_increase_ms,-17.874662956675866,-55.89850703641836,6.531327819595806,7
router_decision_state,classifier_logloss_increase,0.0015852647162497605,0.0006731006726464109,0.0025237227687535287,7
router_decision_state,positive_log_mae_increase,0.8592418259566578,0.6657498350500198,1.024390054828871,7
router_decision_state,composite_mae_increase_ms,468.049999455237,152.5653192989027,962.0227476170627,7
router_initial_state,classifier_logloss_increase,0.05919482954035104,0.03108922161762117,0.08409762690079738,7
router_initial_state,positive_log_mae_increase,0.07621052192405862,0.011991487370109131,0.1551462334397684,7
router_initial_state,composite_mae_increase_ms,164.24979063843713,13.508107125924498,425.81025396822974,7
routing_result,classifier_logloss_increase,0.006008810565250501,0.00021954682181962875,0.014785878107205275,7
routing_result,positive_log_mae_increase,0.04031219375356065,0.0050167242319654635,0.0762653026437672,7
routing_result,composite_mae_increase_ms,22.25809122596734,-3.87386613836489,60.01060685030114,7
scheduler_state,classifier_logloss_increase,-0.00011442297083753487,-0.0006736279726721742,0.00029071066224026107,7
scheduler_state,positive_log_mae_increase,-0.003032674021929971,-0.01927458274050886,0.009670676618605803,7
scheduler_state,composite_mae_increase_ms,1.5608489015949982,-8.566441652688647,11.056921908564341,7
