feature,feature_kind,metric,mean,ci95_low,ci95_high,n_scenarios
arrival_offset_s,direct_or_aggregate,classifier_logloss_increase,-0.0005922123203160684,-0.0014018280582973127,0.00012598324760729415,7
arrival_offset_s,direct_or_aggregate,positive_log_mae_increase,-0.018173120625346872,-0.045980892094093555,0.00494840343186509,7
arrival_offset_s,direct_or_aggregate,composite_mae_increase_ms,-17.09636510278449,-59.460624806287726,7.252996992137711,7
global_arrivals_1s,direct_or_aggregate,classifier_logloss_increase,0.00021047607684522785,-0.00012005879065555884,0.000781896409714272,7
global_arrivals_1s,direct_or_aggregate,positive_log_mae_increase,0.006357877492043464,-0.004942016280949487,0.01836611646887265,7
global_arrivals_1s,direct_or_aggregate,composite_mae_increase_ms,13.465757686923686,-0.19822863440199537,31.093422663378607,7
global_arrivals_5s,direct_or_aggregate,classifier_logloss_increase,0.00042137930112719506,-9.727626663763292e-05,0.0014210484688631047,7
global_arrivals_5s,direct_or_aggregate,positive_log_mae_increase,0.004794597431352614,-0.011362224521100094,0.019026535654749016,7
global_arrivals_5s,direct_or_aggregate,composite_mae_increase_ms,0.3999318492605407,-21.500327702197993,21.61208650723869,7
home_arrivals_1s,direct_or_aggregate,classifier_logloss_increase,-0.0002652274856031174,-0.0005658452097002036,1.119081838358461e-05,7
home_arrivals_1s,direct_or_aggregate,positive_log_mae_increase,0.00251624489109023,-0.011684495638246018,0.014199880643117446,7
home_arrivals_1s,direct_or_aggregate,composite_mae_increase_ms,1.4555800655985027,-7.879548268624673,11.253768352014072,7
home_arrivals_5s,direct_or_aggregate,classifier_logloss_increase,0.001399106148172012,-0.000227263541309775,0.004316807257421019,7
home_arrivals_5s,direct_or_aggregate,positive_log_mae_increase,0.0010498591363115872,-0.014543878828594176,0.01519996766845057,7
home_arrivals_5s,direct_or_aggregate,composite_mae_increase_ms,2.8442815522268865,-14.585900230860954,23.131341889580924,7
home_workload_share,direct_or_aggregate,classifier_logloss_increase,0.0026998851298783216,4.670861905536315e-05,0.006993733237710715,7
home_workload_share,direct_or_aggregate,positive_log_mae_increase,0.00023245537620670645,-0.020813697841886854,0.01927128688948952,7
home_workload_share,direct_or_aggregate,composite_mae_increase_ms,7.3220549912693595,-6.971094377289887,28.594456464094144,7
input_tokens,direct_or_aggregate,classifier_logloss_increase,0.001707579224246999,0.00039365535707138204,0.0033879144348670565,7
input_tokens,direct_or_aggregate,positive_log_mae_increase,0.0,0.0,0.0,7
input_tokens,direct_or_aggregate,composite_mae_increase_ms,1.0979303621521066,-0.3141261891811426,3.3073686592921843,7
interarrival_ms,direct_or_aggregate,classifier_logloss_increase,0.0013017424378239087,-0.00016131758585186964,0.0038105121402672334,7
interarrival_ms,direct_or_aggregate,positive_log_mae_increase,-0.013280065288313788,-0.037275223910472506,0.004709354011524447,7
interarrival_ms,direct_or_aggregate,composite_mae_increase_ms,-5.351372457937182,-17.561073287730736,6.497886968881261,7
kv_moved,direct_or_aggregate,classifier_logloss_increase,-3.450909507068883e-05,-0.00019982975352312332,0.00012804115227401462,7
kv_moved,direct_or_aggregate,positive_log_mae_increase,-3.6005739851019403e-06,-1.080172195530582e-05,0.0,7
kv_moved,direct_or_aggregate,composite_mae_increase_ms,-0.024563829978206386,-0.1277958097524923,0.05012040525438718,7
migration_tokens_realized,direct_or_aggregate,classifier_logloss_increase,0.000103360338164202,-0.000316847140292517,0.0006304726831458861,7
migration_tokens_realized,direct_or_aggregate,positive_log_mae_increase,0.0,0.0,0.0,7
migration_tokens_realized,direct_or_aggregate,composite_mae_increase_ms,-0.26517525554931126,-0.4978563007147493,-0.061399516168062475,7
minimum_prefill_chunks,derived,classifier_logloss_increase,0.0019481554136359382,-0.0009351934320730369,0.005264317139146124,7
minimum_prefill_chunks,derived,positive_log_mae_increase,-0.00014665172422879494,-0.0036921244534726394,0.0032521692807862546,7
minimum_prefill_chunks,derived,composite_mae_increase_ms,-3.7124088884056614,-9.541260142472856,0.6340091523620645,7
nominal_reuse_ratio,derived,classifier_logloss_increase,0.00028383360193254145,-0.0006493417309616575,0.0013989207356325055,7
nominal_reuse_ratio,derived,positive_log_mae_increase,0.0,0.0,0.0,7
nominal_reuse_ratio,derived,composite_mae_increase_ms,-0.13443601586228407,-0.5670254911245536,0.25083355879897695,7
nominal_reuse_tokens,direct_or_aggregate,classifier_logloss_increase,-0.00044166081636347733,-0.0011429125299858224,6.455173797521556e-05,7
nominal_reuse_tokens,direct_or_aggregate,positive_log_mae_increase,0.0,0.0,0.0,7
nominal_reuse_tokens,direct_or_aggregate,composite_mae_increase_ms,-0.12736385372071782,-0.651254151264731,0.34403368090175007,7
offered_uncached_tokens_per_s,derived,classifier_logloss_increase,-0.00112302510309199,-0.003507928956774807,0.00037300803049917955,7
offered_uncached_tokens_per_s,derived,positive_log_mae_increase,-0.0017561083286044554,-0.014550347871141263,0.011221199619384255,7
offered_uncached_tokens_per_s,derived,composite_mae_increase_ms,-4.932749232764526,-22.326661515188302,12.557703868350142,7
output_tokens_actual,direct_or_aggregate,classifier_logloss_increase,0.0006022259710654851,-0.00039677148037737256,0.0022994103473084684,7
output_tokens_actual,direct_or_aggregate,positive_log_mae_increase,-0.0067557729843941055,-0.017804497911002637,0.00462014594353292,7
output_tokens_actual,direct_or_aggregate,composite_mae_increase_ms,-17.888709589386604,-55.25559496784798,5.721621003937996,7
policy,direct_or_aggregate,classifier_logloss_increase,-0.0031556503298585626,-0.012928921831979726,0.002725035410643991,7
policy,direct_or_aggregate,positive_log_mae_increase,-0.00039126447844200124,-0.016200354995289767,0.010161675283157518,7
policy,direct_or_aggregate,composite_mae_increase_ms,3.7962073789834716,-5.385833217956711,16.732417757581278,7
realized_uncached_tokens,derived,classifier_logloss_increase,0.0013475618082872244,0.0002123889616723634,0.0032467454609310296,7
realized_uncached_tokens,derived,positive_log_mae_increase,0.007132460265945356,-0.000641729528633265,0.017883619070895408,7
realized_uncached_tokens,derived,composite_mae_increase_ms,8.319029366031632,0.7308752191100983,18.07472635702229,7
request_rate_rps,direct_or_aggregate,classifier_logloss_increase,0.005777759531315422,-0.0006005014617968163,0.018112442933609568,7
request_rate_rps,direct_or_aggregate,positive_log_mae_increase,0.0022420055824574256,-0.0004354718532730617,0.005386587103585676,7
request_rate_rps,direct_or_aggregate,composite_mae_increase_ms,1.1089123434767718,-1.3007951411464167,4.141450999450525,7
rerouted,direct_or_aggregate,classifier_logloss_increase,0.006008810565250501,1.735956051247619e-05,0.014568160292768953,7
rerouted,direct_or_aggregate,positive_log_mae_increase,0.04031219375356065,0.006427038094527471,0.07559228076594379,7
rerouted,direct_or_aggregate,composite_mae_increase_ms,22.25809122596734,-4.5097715316829765,62.24621381493221,7
reuse_lost,derived,classifier_logloss_increase,-0.00030712052999245517,-0.0006825463280096454,-5.6035038152156904e-05,7
reuse_lost,derived,positive_log_mae_increase,1.1249721898818713e-05,-0.0019377137528304722,0.0019714629185269283,7
reuse_lost,derived,composite_mae_increase_ms,1.110555053014883,-4.123652561351192,7.5077004981741755,7
