test_scenario,feature,classifier_logloss_increase,positive_log_mae_increase,composite_mae_increase_ms
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_min_capacity_pressure,2.7743270987050767e-07,,-5.022918048215584e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_initial_max_capacity_pressure,5.8905912203159e-06,,6.681111524512509e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_waiting_reqs,5.483902504706908e-08,,2.3579844382415787e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_running_reqs,4.839585090548082e-07,,4.6214964000339476e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_available_kv_bytes,5.619788193185803e-08,,2.0434552599284095e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_projected_active_kv_bytes,5.619788193185803e-08,,2.0434552599284095e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_capacity_pressure,5.162947839082868e-07,,1.4308927458004533e-06
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_decision_slot_pressure,4.839585090560432e-07,,4.6214964000373357e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,router_capacity_retry_count,2.1948375253719815e-06,,1.655537266323599e-05
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_waiting_reqs_at_first_schedule,1.580590363423151e-07,,8.479872184695114e-07
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_scheduled_prefill_tokens,-2.0191018496897966e-08,,-1.8337166059395466e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_scheduled_decode_tokens,-2.0191018499735527e-08,,-1.8337166061491026e-08
2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1,scheduler_batch_num_seqs,4.308331785652514e-07,,8.217826066716634e-07
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,input_tokens,0.002181550957103092,0.0,-0.09736677775472913
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,output_tokens_actual,-0.00041889393827088117,-0.006145068619693772,-2.5965754245729897
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,minimum_prefill_chunks,0.0016452378276728859,0.0,-0.13305287848920955
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,nominal_reuse_tokens,0.00019837904439359497,0.0,-0.02493422986459848
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,nominal_reuse_ratio,0.0003079427882175592,0.0,-0.02901991135006199
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,reuse_tokens_realized,0.00011966323458082948,0.0,-0.018822063426924274
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,reuse_preservation_ratio,5.8653156691110264e-05,0.0,-0.01721957102415672
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,reuse_lost,-1.3753343235001214e-05,0.0,-0.017244109329368484
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,realized_uncached_tokens,0.0006440295981443994,0.0,-0.04590976727028817
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,request_rate_rps,-0.0012891051686095938,0.0,0.19048912138302398
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,offered_uncached_tokens_per_s,0.0005529225815522239,-0.013325619388946386,-7.716924836755709
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,arrival_offset_s,-0.002707259181100541,-0.07410161078718913,-7.005243861804807
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,interarrival_ms,0.0009790179681032803,-0.07114570364983386,-0.7100759815267139
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,global_arrivals_1s,-0.00017435569308997534,-0.006401865385657846,0.733085730960326
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,global_arrivals_5s,-0.0001219642730798734,-0.021935637299532462,-2.2922005187063235
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,home_arrivals_1s,-0.0007436067870960385,-0.02854197539852804,-3.9581988488041304
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,home_arrivals_5s,0.00023488235625360177,-0.027878844734914032,-2.428548253309444
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,home_workload_share,0.0027061201327950764,-0.040580477851551444,-2.2446055734062185
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,policy,0.001131898688705637,-0.03563678929992936,-2.5087965076935035
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,rerouted,0.003038278572796569,-0.011124923983327373,-3.2995616468776774
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,kv_moved,-0.0002165138096672757,0.0,0.006165415017719056
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,migration_tokens_realized,0.00011966323458138459,0.0,-0.018822063426966906
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_waiting_reqs,-0.00042325064444138916,-0.010350391822508465,-2.4631856648368284
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_running_reqs,-9.792706403503187e-05,0.0,0.46552336055536614
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_required_kv_bytes,0.0024345997309432425,-0.027498216378219253,0.5331899404634157
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_available_kv_bytes,0.0030745174749068176,-0.012265088784350231,-1.6067082133658204
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_projected_active_kv_bytes,0.0030745174749068176,0.000529008091660621,-0.38404036545612996
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_capacity_pressure,0.0033144433985886727,-0.042517062693454066,-3.305992984092981
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_slot_pressure,-9.792706403824458e-05,0.0,0.46552336055501087
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_admissible_candidate_count,-0.00011026620127166722,-0.047369270529754814,4.300048186715401
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_total_waiting_reqs,-0.00023073138645664237,-0.04985886096114539,-3.9237063548061
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_max_waiting_reqs,-0.00026834499324471933,-0.001198039959452113,-2.564505146469685
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_total_running_reqs,-0.003535587807642359,-0.01639167478122827,-5.258644362463592
2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1,router_initial_max_running_reqs,0.00017094914581729584,0.0,-0.04573958176787585
