target,mae_ms,r2,abs_error_p50_ms,abs_error_p90_ms,abs_error_p95_ms,abs_error_p99_ms,test_scenario
ttft,47.98429712019448,0.29576378243052515,21.926791172799938,123.3403471641817,254.13637286739376,441.82528271244723,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed1
ttft,77.04523021432657,-0.3553990010314727,18.988092927054595,183.2097667201591,316.0638006039382,651.8485264655701,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed2
ttft,49.86871833706074,-0.011871998166156583,20.79565830293876,150.259533885628,298.131611879142,404.12374737327815,2026-07-16_ttft_component_regression/phase1/input4000_rate2p5_reuse00_seed3
ttft,254.80457442358184,0.10731378567179062,56.442416222917586,452.12648721736014,711.0567007628363,5802.37546559124,2026-07-16_ttft_component_regression/phase1/input6000_rate2p5_reuse00_seed1
ttft,530.4150475229719,0.7570632780758705,53.09335826638164,813.5850863543959,1997.096593183135,9879.180673504912,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed1
ttft,366.46040872762774,0.8543768725921767,46.682154078044164,736.5498401804459,1194.4926757400817,6661.286682233468,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed2
ttft,231.4720322222139,0.8674836466857967,50.714120151910436,503.98614476157985,1118.0534060988086,3679.6865889192477,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse00_seed3
ttft,377.3028781793739,0.8599357398188985,271.99806340501624,297.75521269860513,599.9903278244403,3839.3526568754182,2026-07-16_ttft_component_regression/phase1/input6000_rate3p33_reuse50_seed1
ttft,2805.25585434056,0.35602462962349135,344.2317853853251,8303.867341080171,18016.282485392723,28727.338167313603,2026-07-16_ttft_component_regression/phase1/input6000_rate5p0_reuse00_seed1
ttft,878.4607259430938,0.6488913773776991,66.98026207605699,1374.9868129633878,5277.316666405538,13944.812993288535,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed1
ttft,982.6419484431502,0.5791029999789283,67.64663030539612,1522.0964470628132,4871.2653134607845,19215.869073765767,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed2
ttft,715.7709457776641,0.6813852653368069,67.17918014081181,1294.3265323644575,4873.7942595564255,9652.428643015042,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse00_seed3
ttft,367.80708455532243,0.7549765714977945,39.705889024290514,479.2252676924315,1357.3698714255963,8937.528964552783,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed1
ttft,324.7343479592427,0.7556402887555786,40.80114446215998,491.73113578239264,1580.7538438560982,6251.981101590052,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed2
ttft,335.70164933041565,-0.06600037937388037,41.78262714934243,446.18231947966933,1235.7040160928725,7772.231271502341,2026-07-16_ttft_component_regression/phase1/input8000_rate2p5_reuse50_seed3
