condition,method,method_label,subset,request_count,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
input512_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,NEAREST_KV,Nearest KV,Not redirected only,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,NEAREST_MIGRATE,Migrate,Not redirected only,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input512_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,0.0,8.22029307,0.0,32.48582115666667,0.0,40.706114226666664
input2000_reuse00,NEAREST_KV,Nearest KV,All requests,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,3.552713678800501e-15,16.506215246666667,0.0,217.40135997333334,0.0,233.90757522
input2000_reuse025,NEAREST_KV,Nearest KV,All requests,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,NEAREST_MIGRATE,Migrate,All requests,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
input2000_reuse025,NEAREST_KV,Nearest KV,Not redirected only,300,0.0,12.32616525,0.0,167.83275984666668,0.0,180.15892509666665
