condition,method,method_label,subset,request_count,p50_ms,p90_ms,p95_ms,p99_ms,max_ms
prompt6000_90s,NEAREST_KV,Nearest KV,All requests,300,410.18104900000003,7492.358718300003,14021.017747500004,19958.072827389995,24548.445878
prompt6000_90s,NEAREST_MIGRATE,Migrate,All requests,300,412.07445900000005,765.0616009,917.8950139500002,2369.13549004,2575.127663
prompt6000_90s,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,410.6481435,732.1893659,785.5977232500001,1338.5955663099994,1434.283991
prompt6000_90s,NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,411.66410399999995,701.1546234,758.61140345,931.09228985,1111.445138
prompt6000_90s,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE,Multi (learned model),All requests,300,412.095827,704.2092230000001,747.82329285,932.5839493799997,1267.704366
prompt6000_90s,NEAREST_MIGRATE,Migrate,Redirected only,24,790.613254,2372.4980698,2385.9125995,2532.09333084,2575.127663
prompt6000_90s,NEAREST_MIGRATE_KV,Migrate + KV,Redirected only,24,750.4594495,1376.7476197,1398.8201450000001,1426.34991974,1434.283991
prompt6000_90s,NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE,"Multi (no-model, pressure)",Redirected only,18,728.5894069999999,910.7598314,953.2205632499998,1053.5877982499999,1078.679607
prompt6000_90s,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE,Multi (learned model),Redirected only,18,724.9952390000001,921.5295383,1012.0884466499995,1216.5811821299994,1267.704366
prompt6000_90s,NEAREST_KV,Nearest KV,Not redirected only,300,410.18104900000003,7492.358718300003,14021.017747500004,19958.072827389995,24548.445878
prompt6000_90s,NEAREST_MIGRATE,Migrate,Not redirected only,276,408.6506985,592.413479,738.204121,1129.59404225,1483.058747
prompt6000_90s,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,276,407.55809750000003,571.7508295,706.285171,910.5448565,1111.445138
prompt6000_90s,NEAREST_CAPACITY_MULTI_PRESSURE_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,282,409.84560899999997,568.1286804,696.3683875499997,808.7987366299998,1111.445138
prompt6000_90s,NEAREST_CAPACITY_MULTI_FORMULA_KV_RESERVE,Multi (learned model),Not redirected only,282,410.124887,575.2449837,701.59886965,823.6579517299998,1111.445138
input512_reuse00,NEAREST_KV,Nearest KV,All requests,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,65.6143375,74.7937854,76.1344781,80.81462427999999,82.276821
input512_reuse025,NEAREST_KV,Nearest KV,All requests,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_MIGRATE,Migrate,All requests,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_KV,Nearest KV,Not redirected only,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_MIGRATE,Migrate,Not redirected only,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,53.7278675,61.856453099999996,63.0063561,64.68104049,66.577233
input512_reuse05,NEAREST_KV,Nearest KV,All requests,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_MIGRATE,Migrate,All requests,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_KV,Nearest KV,Not redirected only,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_MIGRATE,Migrate,Not redirected only,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input512_reuse05,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,40.6481435,48.6809453,49.834763550000005,52.5033457,55.266705
input2000_reuse00,NEAREST_KV,Nearest KV,All requests,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_MIGRATE,Migrate,All requests,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_KV,Nearest KV,Not redirected only,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_MIGRATE,Migrate,Not redirected only,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_MIGRATE_KV,Migrate + KV,Not redirected only,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse00,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",Not redirected only,300,226.74179900000001,241.0232899,298.46911320000015,385.22959661,406.549487
input2000_reuse025,NEAREST_KV,Nearest KV,All requests,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse025,NEAREST_MIGRATE,Migrate,All requests,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse025,NEAREST_MIGRATE_KV,Migrate + KV,All requests,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
input2000_reuse025,NEAREST_CAPACITY_MULTI_PRESSURE_FORMULA_KV_RESERVE,"Multi (no-model, pressure)",All requests,300,176.3797615,187.67772300000001,198.49759990000007,285.46987358999996,297.034768
