workload,workload_label,arm,Router queue,Scheduler queue,KV transfer,Compute / prefill,RTT / other comm,Total
input512_reuse00,512 / reuse 0%,PP1: 10 replicas,1.3026616822268502e-15,8.341675503333333,0.0,57.50945046000001,0.0,65.85112596333333
input512_reuse00,512 / reuse 0%,PP2: 5 groups,1.3145040611561853e-15,5.046530426666666,0.0,57.14080100333334,0.0,62.18733143
input512_reuse00,512 / reuse 0%,PP2 + scheduler-hide,1.3145040611561853e-15,5.046530426666666,0.0,57.14080100333334,0.0,62.18733143
input2000_reuse025,2000 / reuse 25%,PP1: 10 replicas,3.789561257387201e-15,12.32616525,0.0,167.83275984666668,0.0,180.15892509666668
input2000_reuse025,2000 / reuse 25%,PP2: 5 groups,4.547473508864641e-15,10.126912936666667,0.0,169.51815686999998,0.0,179.64506980666664
input2000_reuse025,2000 / reuse 25%,PP2 + scheduler-hide,4.547473508864641e-15,10.126912936666667,0.0,169.51815686999998,0.0,179.64506980666664
input2000_reuse025,2000 / reuse 25%,PP2 + speculative,4.547473508864641e-15,10.126912936666667,0.0,169.51815686999998,0.0,179.64506980666664
input6000_reuse05,6000 / reuse 50%,PP1: 10 replicas,0.13596664666660066,27.110159294268318,19.00291006906509,424.2400494466666,0.03716358000000014,470.5262490366667
input6000_reuse05,6000 / reuse 50%,PP2: 5 groups,6.252776074688882e-15,19.352778703333332,0.0,436.17254617,0.0,455.5253248733334
input6000_reuse05,6000 / reuse 50%,PP2 + scheduler-hide,6.252776074688882e-15,19.352778703333332,0.0,436.17254617,0.0,455.5253248733334
input6000_reuse05,6000 / reuse 50%,PP2 + speculative,6.252776074688882e-15,19.352778703333332,0.0,436.17254617,0.0,455.5253248733334
input8000_reuse00,8000 / reuse 0%,PP1: 10 replicas,2442.4429603099998,89.40470962333333,0.0,1059.7710922033336,0.38773188,3592.0064940166667
input8000_reuse00,8000 / reuse 0%,PP2 + scheduler-hide,1322.4693008933332,66.17677210666666,0.0,1108.8525903566667,0.22721922000000003,2497.7258825766667
input8000_reuse00,8000 / reuse 0%,PP2 + speculative,1528.0542545600001,65.20635492666666,0.0,1103.4298905766668,0.22930380000000003,2696.9198038633335
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,647.7265944066661,64.62968955513666,129.20269644486393,833.6280990333335,0.38147813999999614,1675.56855758
input8000_reuse025,8000 / reuse 25%,PP2: 5 groups,0.14752235333319078,62.87235537950706,24.71089822715977,870.5072219533333,0.07296029999999926,958.3109582133333
input8000_reuse025,8000 / reuse 25%,PP2 + scheduler-hide,0.1474347766666878,87.12950832333333,0.0,871.6762547,0.07296029999999926,959.0261580999999
input8000_reuse025,8000 / reuse 25%,PP2 + speculative,14.681302443333355,100.26737868333333,0.0,878.16919945,0.10422899999999895,993.2221095766666
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,29.895277050000416,43.02846761577475,149.5711913075582,582.24140441,0.22096547999998772,804.9573058633333
input8000_reuse05,8000 / reuse 50%,PP2: 5 groups,0.012207683333392842,32.012100701471354,16.932587695195263,591.45382182,0.025014959999998608,640.43573286
input8000_reuse05,8000 / reuse 50%,PP2 + scheduler-hide,0.012207683333346608,48.94468839666667,0.0,591.45382182,0.025014959999998608,640.43573286
input8000_reuse05,8000 / reuse 50%,PP2 + speculative,0.010957120000016592,46.13819073333333,0.0,593.5584595166666,0.020845799999998842,639.72845317
input10000_reuse00,10000 / reuse 0%,PP1: 10 replicas,13353.050722256667,73.78474535,0.0,1346.6019925466667,0.48614335000000003,14773.923603503335
mixed_rate3p33_seed1,Mixed / burst,PP1: 10 replicas,0.08885987666662781,69.3598784427535,10.920148900579882,515.6958294733333,0.035024269999999615,596.0997409633334
mixed_rate3p33_seed1,Mixed / burst,PP2: 5 groups,6.560677926851592e-15,41.16845169666667,0.0,524.68333091,0.0,565.8517826066667
