workload,workload_label,baseline_arm,comparison_arm,mean_ttft_improvement_pct,p95_ttft_improvement_pct,p99_ttft_improvement_pct,scheduler_queue_reduction_pct,tpot_change_pct,completion_change_pct,request_throughput_change_pct,baseline_redirects,comparison_redirects
input512_reuse00,512 / reuse 0%,PP1: 10 replicas,PP2: 5 groups,5.563753815497967,8.525615545002324,9.507472649231277,39.50219683503543,7.1466236646451335,7.0831787760231135,-0.948914517877623,0,0
input512_reuse00,512 / reuse 0%,PP1: 10 replicas,PP2 + scheduler-hide,5.563753815497967,8.525615545002324,9.507472649231277,39.50219683503543,7.1466236646451335,7.0831787760231135,-0.948914517877623,0,0
input2000_reuse025,2000 / reuse 25%,PP1: 10 replicas,PP2: 5 groups,0.28522333252394894,-17.81090061935803,10.584358209159351,17.842145296026544,10.438769356879943,10.340601628893252,-1.064419613390713,0,0
input2000_reuse025,2000 / reuse 25%,PP1: 10 replicas,PP2 + scheduler-hide,0.28522333252394894,-17.81090061935803,10.584358209159351,17.842145296026544,10.438769356879943,10.340601628893252,-1.064419613390713,0,0
input2000_reuse025,2000 / reuse 25%,PP1: 10 replicas,PP2 + speculative,0.28522333252394894,-17.81090061935803,10.584358209159351,17.842145296026544,10.438769356879943,10.340601628893252,-1.064419613390713,0,0
input6000_reuse05,6000 / reuse 50%,PP1: 10 replicas,PP2: 5 groups,3.1881163259319742,12.57484385499188,12.669861417175413,28.614293655497125,26.795514520153436,26.164075058515362,-0.8316691693004017,18,0
input6000_reuse05,6000 / reuse 50%,PP1: 10 replicas,PP2 + scheduler-hide,3.1881163259319742,12.57484385499188,12.669861417175413,28.614293655497125,26.795514520153436,26.164075058515362,-0.8316691693004017,18,0
input6000_reuse05,6000 / reuse 50%,PP1: 10 replicas,PP2 + speculative,3.1881163259319742,12.57484385499188,12.669861417175413,28.614293655497125,26.795514520153436,26.164075058515362,-0.8316691693004017,18,0
input8000_reuse00,8000 / reuse 0%,PP1: 10 replicas,PP2 + scheduler-hide,30.464327201601172,8.873644419339048,11.200105538021516,25.98066434590209,69.50638483981064,55.30707286270642,-2.697970516307897,186,109
input8000_reuse00,8000 / reuse 0%,PP1: 10 replicas,PP2 + speculative,24.918849440954823,1.546724195475159,6.6565224323945795,27.066084995539484,71.20283539246259,57.54247094179853,-3.8364811143437985,186,110
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,PP2: 5 groups,42.80681898224396,64.24972515132968,65.60450935473979,2.7190818766511184,54.93675381083416,47.344017469876306,-2.0692203405089615,183,35
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,PP2 + scheduler-hide,42.764134970095895,62.490156288503904,66.96026002614333,-34.81344088617617,54.82398350022451,47.24640601354946,-2.0692203405089615,183,35
input8000_reuse025,8000 / reuse 25%,PP1: 10 replicas,PP2 + speculative,40.72327837118385,61.7854428535584,60.48082505293385,-55.14135898454775,56.803030590126454,49.17301637700144,-2.9318879064159473,183,50
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,PP2: 5 groups,20.43854646761427,35.50531411015454,45.04347842520792,25.602508117822598,44.53809212438582,41.974637208629524,-3.28777290593817,106,12
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,PP2 + scheduler-hide,20.43854646761427,35.50531411015454,45.04347842520792,-13.74955025989111,44.53809212438582,41.974637208629524,-3.28777290593817,106,12
input8000_reuse05,8000 / reuse 50%,PP1: 10 replicas,PP2 + speculative,20.526411958721464,34.81949797780247,46.58818581289289,-7.227129595520429,42.59663927772787,40.09703002163188,-2.464673214768622,106,10
mixed_rate3p33_seed1,Mixed / burst,PP1: 10 replicas,PP2: 5 groups,5.074311608957278,5.01458585190429,23.581300806456635,40.64515016322406,26.79680929653595,25.780350412564484,-0.26003720641637934,17,0
