max_num_batched_tokens,prompt_tokens,output_tokens,repeat,ttft_ns,ttft_ms,num_prefill_chunks,chunk_tokens,chunk_latencies_ns
512,128,32,0,12598475,12.598475,1,128,12598475
512,128,32,1,12598475,12.598475,1,128,12598475
512,128,32,2,12598475,12.598475,1,128,12598475
512,128,32,3,12598475,12.598475,1,128,12598475
512,128,32,4,12598475,12.598475,1,128,12598475
512,128,32,5,12598475,12.598475,1,128,12598475
512,128,32,6,12598475,12.598475,1,128,12598475
512,128,32,7,12598475,12.598475,1,128,12598475
512,128,32,8,12598475,12.598475,1,128,12598475
512,128,32,9,12598475,12.598475,1,128,12598475
512,128,32,10,12598475,12.598475,1,128,12598475
512,128,32,11,12598475,12.598475,1,128,12598475
512,128,32,12,12598475,12.598475,1,128,12598475
512,128,32,13,12598475,12.598475,1,128,12598475
512,128,32,14,12598475,12.598475,1,128,12598475
512,128,32,15,12598475,12.598475,1,128,12598475
512,128,32,16,12598475,12.598475,1,128,12598475
512,128,32,17,12598475,12.598475,1,128,12598475
512,128,32,18,12598475,12.598475,1,128,12598475
512,128,32,19,12598475,12.598475,1,128,12598475
512,128,32,20,12598475,12.598475,1,128,12598475
512,128,32,21,12598475,12.598475,1,128,12598475
512,128,32,22,12598475,12.598475,1,128,12598475
512,128,32,23,12598475,12.598475,1,128,12598475
512,128,32,24,12598475,12.598475,1,128,12598475
512,128,32,25,12598475,12.598475,1,128,12598475
512,128,32,26,12598475,12.598475,1,128,12598475
512,128,32,27,12598475,12.598475,1,128,12598475
512,128,32,28,12598475,12.598475,1,128,12598475
512,128,32,29,12598475,12.598475,1,128,12598475
512,512,32,0,23744939,23.744939,1,512,23744939
512,512,32,1,23744939,23.744939,1,512,23744939
512,512,32,2,23744939,23.744939,1,512,23744939
512,512,32,3,23744939,23.744939,1,512,23744939
512,512,32,4,23744939,23.744939,1,512,23744939
512,512,32,5,23744939,23.744939,1,512,23744939
512,512,32,6,23744939,23.744939,1,512,23744939
512,512,32,7,23744939,23.744939,1,512,23744939
512,512,32,8,23744939,23.744939,1,512,23744939
512,512,32,9,23744939,23.744939,1,512,23744939
512,512,32,10,23744939,23.744939,1,512,23744939
512,512,32,11,23744939,23.744939,1,512,23744939
512,512,32,12,23744939,23.744939,1,512,23744939
512,512,32,13,23744939,23.744939,1,512,23744939
512,512,32,14,23744939,23.744939,1,512,23744939
512,512,32,15,23744939,23.744939,1,512,23744939
512,512,32,16,23744939,23.744939,1,512,23744939
512,512,32,17,23744939,23.744939,1,512,23744939
