instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,64,32,0,437154406,437154406,1,12056844,13712824,"[24259752, 24653214, 26552739, 24915315, 24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439]"
0,4,meta-llama/Llama-3.1-8B,256,32,2000000,448564896,446564896,10056844,34316596,13298332,"[24653214, 26552739, 24915315, 24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490]"
0,9,meta-llama/Llama-3.1-8B,64,32,4000000,448564896,444564896,8056844,32316596,13298332,"[24653214, 26552739, 24915315, 24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490]"
0,13,meta-llama/Llama-3.1-8B,256,32,6000000,459925095,453925095,30316596,54969810,12869525,"[26552739, 24915315, 24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490, 11360199]"
0,15,meta-llama/Llama-3.1-8B,512,32,7000000,471240825,464240825,53969810,80522549,12378008,"[24915315, 24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490, 11360199, 11315730]"
0,18,meta-llama/Llama-3.1-8B,256,32,9000000,471240825,462240825,51969810,78522549,12378008,"[24915315, 24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490, 11360199, 11315730]"
0,19,meta-llama/Llama-3.1-8B,512,32,9000000,482650679,473650679,78522549,103437864,11942348,"[24996627, 13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490, 11360199, 11315730, 11409854]"
0,28,meta-llama/Llama-3.1-8B,512,32,14000000,493977107,479977107,98437864,123434491,11501374,"[13281428, 11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490, 11360199, 11315730, 11409854, 11326428]"
0,29,meta-llama/Llama-3.1-8B,256,32,14000000,505251294,491251294,123434491,136715919,11436625,"[11447407, 11448271, 11449135, 11449999, 11450831, 11451727, 11452559, 11453391, 11454255, 11455119, 11455951, 11456783, 11457583, 11458447, 11459279, 11460079, 11460911, 11461743, 11462575, 11463375, 11464207, 11465007, 11465807, 11466607, 11467439, 11410490, 11360199, 11315730, 11409854, 11326428, 11274187]"
1,2,meta-llama/Llama-3.1-8B,128,32,1000000,506281176,505281176,57398,12784131,15887001,"[43469903, 44850833, 44506737, 44299558, 11551919, 11552463, 13618022, 11553615, 11554095, 11554671, 11555215, 11555759, 11556303, 11556847, 11557391, 12769985, 11558543, 11559023, 11559567, 11560111, 11560655, 11561199, 11561743, 11562255, 11562799, 11563311, 11563855, 11564367, 11564911, 11565423, 11565967]"
