instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
0,0,meta-llama/Llama-3.1-8B,64,32,0,908337434,908337434,1,12056844,28912277,"[24259251, 24667699, 25400179, 26096051, 26731891, 27420371, 28211717, 28802675, 29341715, 30035283, 30885811, 31651187, 32347123, 32989171, 33581779, 34131987, 34645992, 26790152, 27336072, 27838792, 28349769, 26823331, 27386538, 26974058, 27500362, 27971754, 28508586, 29010096, 29665770, 30224682, 30700746]"
0,4,meta-llama/Llama-3.1-8B,256,32,2000000,939520003,937520003,10056844,34316095,29135609,"[24667699, 25400179, 26096051, 26731891, 27420371, 28211717, 28802675, 29341715, 30035283, 30885811, 31651187, 32347123, 32989171, 33581779, 34131987, 34645992, 26790152, 27336072, 27838792, 28349769, 26823331, 27386538, 26974058, 27500362, 27971754, 28508586, 29010096, 29665770, 30224682, 30700746, 31182569]"
0,8,meta-llama/Llama-3.1-8B,8192,32,4000000,1361200000,1357200000,474610734,509256726,27353008,"[26790152, 27336072, 27838792, 28349769, 26823331, 27386538, 26974058, 27500362, 27971754, 28508586, 29010096, 29665770, 30224682, 30700746, 31182569, 32046462, 32667070, 33229534, 33750942, 34233406, 34680542, 35099433, 28196937, 28805097, 29342345, 29884682, 16854727, 13221117, 13221853, 13222557, 13223293]"
0,12,meta-llama/Llama-3.1-8B,2048,32,6000000,1410962108,1404962108,589221742,617571511,25399696,"[26823331, 27386538, 26974058, 27500362, 27971754, 28508586, 29010096, 29665770, 30224682, 30700746, 31182569, 32046462, 32667070, 33229534, 33750942, 34233406, 34680542, 35099433, 28196937, 28805097, 29342345, 29884682, 16854727, 13221117, 13221853, 13222557, 13223293, 12439783, 12440295, 12440775, 12441255]"
0,16,meta-llama/Llama-3.1-8B,64,32,8000000,1410962108,1402962108,587221742,615571511,25399696,"[26823331, 27386538, 26974058, 27500362, 27971754, 28508586, 29010096, 29665770, 30224682, 30700746, 31182569, 32046462, 32667070, 33229534, 33750942, 34233406, 34680542, 35099433, 28196937, 28805097, 29342345, 29884682, 16854727, 13221117, 13221853, 13222557, 13223293, 12439783, 12440295, 12440775, 12441255]"
0,20,meta-llama/Llama-3.1-8B,1024,32,10000000,1435232586,1425232586,640394842,667781380,24433909,"[26974058, 27500362, 27971754, 28508586, 29010096, 29665770, 30224682, 30700746, 31182569, 32046462, 32667070, 33229534, 33750942, 34233406, 34680542, 35099433, 28196937, 28805097, 29342345, 29884682, 16854727, 13221117, 13221853, 13222557, 13223293, 12439783, 12440295, 12440775, 12441255, 12135047, 12135431]"
0,24,meta-llama/Llama-3.1-8B,8192,32,12000000,1632840906,1620840906,1128127959,1163227392,14761726,"[28196937, 28805097, 29342345, 29884682, 16854727, 13221117, 13221853, 13222557, 13223293, 12439783, 12440295, 12440775, 12441255, 12135047, 12135431, 12348670, 12348926, 12349182, 12349406, 12349662, 12349918, 12350142, 12350398, 12350654, 12350878, 12351134, 12351390, 12351614, 12351870, 12352126, 12352350]"
0,26,meta-llama/Llama-3.1-8B,2048,32,13000000,1678729178,1665729178,1248571771,1278456453,12492668,"[16854727, 13221117, 13221853, 13222557, 13223293, 12439783, 12440295, 12440775, 12441255, 12135047, 12135431, 12348670, 12348926, 12349182, 12349406, 12349662, 12349918, 12350142, 12350398, 12350654, 12350878, 12351134, 12351390, 12351614, 12351870, 12352126, 12352350, 11471996, 11472028, 11472092, 11472156]"
0,30,meta-llama/Llama-3.1-8B,128,32,15000000,1689994565,1674994565,1276456453,1293311180,12312367,"[13221117, 13221853, 13222557, 13223293, 12439783, 12440295, 12440775, 12441255, 12135047, 12135431, 12348670, 12348926, 12349182, 12349406, 12349662, 12349918, 12350142, 12350398, 12350654, 12350878, 12351134, 12351390, 12351614, 12351870, 12352126, 12352350, 11471996, 11472028, 11472092, 11472156, 11265387]"
1,1,meta-llama/Llama-3.1-8B,8192,32,0,1110601227,1110601227,347931544,405781170,22736130,"[48267608, 50105976, 52052400, 46942608, 48996401, 47248049, 49289041, 51484785, 30482624, 12719357, 12719901, 12723172, 12720957, 12721469, 12722013, 12722525, 12723069, 12723581, 12724093, 12724637, 12725149, 12725693, 12726205, 12726749, 12727293, 12727805, 12728317, 12728861, 12729373, 12729917, 12730429]"
