instance id,request id,model,input,output,arrival,end_time,latency,queuing_delay,TTFT,TPOT,ITL
1,29,meta-llama/Llama-3.1-8B,256,32,14000000,1229477709,1215477709,786192086,828722510,12475974,"[12719962, 12720602, 12721274, 12721914, 12722586, 12723226, 12723898, 12724538, 12725210, 12725850, 12726522, 12727162, 12727834, 12728474, 12729114, 12729786, 12730426, 12731098, 12731738, 12732378, 12733050, 12733690, 11998845, 11999517, 12000221, 11956702, 11956990, 11712860, 11713052, 11713244, 11713436]"
2,2,meta-llama/Llama-3.1-8B,128,32,1000000,871336185,870336185,57398,12784131,27662969,"[85045920, 95500928, 99892374, 87253974, 95295447, 86878627, 12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722]"
2,6,meta-llama/Llama-3.1-8B,512,32,3000000,883664182,880664182,10784131,95830051,25317230,"[95500928, 99892374, 87253974, 95295447, 86878627, 12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997]"
2,10,meta-llama/Llama-3.1-8B,4096,32,5000000,908335430,903335430,189330979,289223353,19810067,"[87253974, 95295447, 86878627, 12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997, 12302631, 12368617]"
2,14,meta-llama/Llama-3.1-8B,1024,32,7000000,908335430,901335430,187330979,287223353,19810067,"[87253974, 95295447, 86878627, 12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997, 12302631, 12368617]"
2,18,meta-llama/Llama-3.1-8B,256,32,9000000,908335430,899335430,185330979,285223353,19810067,"[87253974, 95295447, 86878627, 12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997, 12302631, 12368617]"
2,22,meta-llama/Llama-3.1-8B,4096,32,11000000,932228746,921228746,370477327,465772774,14692128,"[86878627, 12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997, 12302631, 12368617, 11946534, 11946782]"
2,26,meta-llama/Llama-3.1-8B,2048,32,13000000,943700934,930700934,463772774,550651401,12259662,"[12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997, 12302631, 12368617, 11946534, 11946782, 11472188]"
2,30,meta-llama/Llama-3.1-8B,128,32,15000000,943700934,928700934,461772774,548651401,12259662,"[12258602, 12251226, 12251866, 12252474, 12253114, 12253754, 12254394, 12255002, 12255642, 12256282, 13216487, 12257546, 12258170, 12258778, 12522563, 12260074, 12260666, 12261306, 12261914, 12262586, 12263226, 12263834, 12264474, 12265082, 12265722, 12327997, 12302631, 12368617, 11946534, 11946782, 11472188]"
3,3,meta-llama/Llama-3.1-8B,4096,32,1000000,803701126,802701126,57398,101934243,22605383,"[102317687, 113579351, 130303748, 12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866]"
3,7,meta-llama/Llama-3.1-8B,1024,32,3000000,815934531,812934531,99934243,202251930,19699438,"[113579351, 130303748, 12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405]"
3,11,meta-llama/Llama-3.1-8B,128,32,5000000,815934531,810934531,97934243,200251930,19699438,"[113579351, 130303748, 12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405]"
3,15,meta-llama/Llama-3.1-8B,512,32,7000000,815934531,808934531,95934243,198251930,19699438,"[113579351, 130303748, 12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405]"
3,19,meta-llama/Llama-3.1-8B,512,32,9000000,815934531,806934531,93934243,196251930,19699438,"[113579351, 130303748, 12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405]"
3,23,meta-llama/Llama-3.1-8B,8192,32,11000000,840327583,829327583,307831281,438135029,12619114,"[12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405, 12196382, 12196670]"
3,27,meta-llama/Llama-3.1-8B,1024,32,13000000,840327583,827327583,305831281,436135029,12619114,"[12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405, 12196382, 12196670]"
3,31,meta-llama/Llama-3.1-8B,64,32,15000000,840327583,825327583,303831281,434135029,12619114,"[12572954, 12573818, 12574650, 12575514, 12576378, 12577242, 12578074, 12578938, 13916820, 12580634, 12581498, 12582330, 12583194, 12584026, 12584890, 12998190, 12586602, 13039597, 12588290, 12589114, 12589978, 12590810, 12591674, 12592506, 12593338, 12594170, 12595002, 12595866, 12233405, 12196382, 12196670]"
