level,target_rps,remote_window,remote_requests,remote_attempts_total,remote_failures_after_retry,local_requests,local_arm,remote_ttft_mean_ms,remote_ttft_p50_ms,remote_ttft_p95_ms,remote_ttft_p99_ms,remote_tpot_mean_ms,remote_tpot_p50_ms,remote_tpot_p95_ms,remote_tpot_p99_ms,local_ttft_mean_ms,local_ttft_p50_ms,local_ttft_p95_ms,local_ttft_p99_ms,local_tpot_mean_ms,local_tpot_p50_ms,local_tpot_p95_ms,local_tpot_p99_ms,delta_ttft_mean_ms_pct,delta_ttft_p50_ms_pct,delta_ttft_p95_ms_pct,delta_ttft_p99_ms_pct,delta_tpot_mean_ms_pct,delta_tpot_p50_ms_pct,delta_tpot_p95_ms_pct,delta_tpot_p99_ms_pct
1,9,full,599,601,1,300,4_redirect_kv_pp2,171.5994841352254,176.292875,291.0367038,359.88624466,6.979939072659056,6.748636243243244,8.213513551386553,10.953794778863543,263.74605299999996,229.20577500000002,461.7966307500003,549.88950997,29.25755251,28.9921185,39.20263325,59.652308609999984,-34.93761056009986,-23.085325838757775,-36.97730030482692,-34.55298962156341,-76.1431204121624,-76.72251428179267,-79.04856671487353,-81.63726595985042
1,9,first_300,299,601,1,300,4_redirect_kv_pp2,164.93903959197334,175.828541,288.22987440000026,357.27755199999996,6.732598769616373,6.610153670792079,7.803735762484358,9.545993341765325,263.74605299999996,229.20577500000002,461.7966307500003,549.88950997,29.25755251,28.9921185,39.20263325,59.652308609999984,-37.46293538202319,-23.287909739621526,-37.58510668822153,-35.027392681214856,-76.98851000159625,-77.20017020904464,-80.09384800067134,-83.99727761724036
1,9,second_300,300,601,1,300,4_redirect_kv_pp2,178.23772719666673,177.4855205,290.9838309,360.9804376799999,7.226454908024936,6.855739005122951,8.557295484670783,18.651793433749983,263.74605299999996,229.20577500000002,461.7966307500003,549.88950997,29.25755251,28.9921185,39.20263325,59.652308609999984,-32.420703487582905,-22.5649875095861,-36.98874969541994,-34.35400546198931,-75.30054878802665,-76.35309401373014,-78.17163089504764,-68.7324868586507
2,18,full,599,601,1,300,4_redirect_kv_pp2,189.07139651585967,186.66075,348.152483,417.0386744999999,9.15418295952832,8.726227631578947,12.430006709670867,17.54262893048128,312.1576911766666,272.50048549999997,558.9123911500001,614.3349644799999,43.03455179000001,38.439906,69.24727200000004,111.32472203999983,-39.430806332798596,-31.500764243592506,-37.708934617883,-32.115425848665524,-78.72829487292235,-77.2990401392268,-82.04982470692728,-84.2419288285507
2,18,first_300,299,601,1,300,4_redirect_kv_pp2,183.74027454515044,185.083916,331.8954753000002,410.32379101999993,8.78847339894802,8.505906185628742,11.471720122990167,16.96357891544116,312.1576911766666,272.50048549999997,558.9123911500001,614.3349644799999,43.03455179000001,38.439906,69.24727200000004,111.32472203999983,-41.13863610005942,-32.07941789153252,-40.617620837301025,-33.20845878155153,-79.57809937969377,-77.87219826804794,-83.43368656747928,-84.76207386410898
2,18,second_300,300,601,1,300,4_redirect_kv_pp2,194.3847480800001,187.03331250000002,355.3021229000001,424.97807116,9.51867348824004,8.945478168317685,12.645926682848932,17.714447808518507,312.1576911766666,272.50048549999997,558.9123911500001,614.3349644799999,43.03455179000001,38.439906,69.24727200000004,111.32472203999983,-37.72866933142856,-31.36404430369353,-36.429728786484425,-30.82306954159445,-77.88132304784013,-76.7286679412856,-81.7380146284334,-84.08758855723568
3,27,full,599,601,1,300,4_redirect_kv_pp2,219.87352766444104,206.934667,420.54777470000005,529.0799403399999,11.928883934798247,12.055972098214285,15.607582512572465,20.686895144825158,399.8455240999999,345.5031265,690.61665655,831.3327464599996,54.60267979999999,43.384622,126.17671320000004,208.95890953999947,-45.01038165692922,-40.10628236673859,-39.10546890066895,-36.357620628690455,-78.15329947450995,-72.21141606762349,-87.63037797011465,-90.10001765879946
3,27,first_300,299,601,1,300,4_redirect_kv_pp2,228.97256993979934,214.568458,417.41757880000006,509.5270566599997,12.144099064027015,12.340333928571429,15.504150822119923,19.674641485454437,399.8455240999999,345.5031265,690.61665655,831.3327464599996,54.60267979999999,43.384622,126.17671320000004,208.95890953999947,-42.73474225947965,-37.89681147791293,-39.55871541164032,-38.709613108628325,-77.75915191615373,-71.55597223234669,-87.71235164642098,-90.58444479406691
3,27,second_300,300,601,1,300,4_redirect_kv_pp2,210.8048155299999,198.672854,434.40897085000006,533.3382927499997,11.714386189333576,11.795380509019427,15.78762175114599,20.67838125423076,399.8455240999999,345.5031265,690.61665655,831.3327464599996,54.60267979999999,43.384622,126.17671320000004,208.95890953999947,-47.2784355897208,-42.49752353543463,-37.09839362692098,-35.84538862193589,-78.54613320767166,-72.81207034829201,-87.48768980364756,-90.10409209171698
4,36,full,599,601,1,300,4_redirect_kv_pp2,259.75813163105187,228.8325,517.7134839,691.0180699999999,16.637058161008063,16.44602520366599,24.953435390724728,34.31859948071141,510.4409015100003,506.770734,881.8782398500001,1055.1074423799998,60.50235705999997,43.479837,191.25224400000005,279.59214303999994,-49.11102718010484,-54.8449654553256,-41.29422175242031,-34.50732671913731,-72.50180163310141,-62.17551320703896,-86.95260517271383,-87.72547786659312
