level,requests,local_duration_s,local_gpu_energy_wh,local_electricity_jpy_per_kwh,local_gpu_energy_cost_jpy,local_gpu_energy_cost_usd,azure_duration_s,azure_vm_count,azure_usd_per_vm_hour,azure_compute_cost_usd,azure_compute_cost_jpy,assumed_jpy_per_usd,azure_to_local_cost_ratio
1,300,51.184578729,36.02447155204612,31.0,1.1167586181134297,0.007445057454089531,37.367056792,8,10.121,0.840426626204071,126.06399393061066,150.0,112.88383352131542
5,300,42.080102377,23.7758614156525,31.0,0.7370517038852276,0.004913678025901517,23.450529791,8,10.121,0.5274284711438022,79.11427067157032,150.0,107.33883424261083
10,300,41.889887457,23.291709385107502,31.0,0.7220429909383326,0.004813619939588884,23.694279541,8,10.121,0.5329106738543578,79.93660107815366,150.0,110.70892188049893
