trigger_time_ns,source_instance_id,source_capacity_pressure,source_slot_pressure,target_instance_id,user_id,user_recent_request_count,seeded_tokens,estimated_transfer_ns
12322715348,4,0.7043582809869939,0.0546875,5,8,5,2000,211807699
12322715348,4,0.7043582809869939,0.0546875,5,9,1,2000,211807699
14335149101,4,0.8212113414021929,0.0625,5,8,6,2000,211807699
14535149146,1,0.6961504874642997,0.0546875,5,3,4,2000,211807699
14535149146,1,0.6961504874642997,0.0546875,5,2,2,2000,211807699
16339377455,4,0.9367684344190716,0.0703125,9,9,4,2000,211807699
18164725867,0,0.7026303244559005,0.0546875,5,1,3,2000,211807699
18164725867,0,0.7026303244559005,0.0546875,5,0,3,2000,211807699
18371763550,4,0.9367684344190716,0.0703125,8,8,8,2000,211807699
18371763550,4,0.9367684344190716,0.0703125,8,9,5,2000,211807699
19795435533,9,0.6996064005264867,0.0546875,7,18,4,2000,211807699
19795435533,9,0.6996064005264867,0.0546875,7,19,2,2000,211807699
21828573500,9,0.8160274718089123,0.0625,8,19,3,2000,211807699
22441395012,4,0.8209953468358062,0.0625,7,8,9,2000,211807699
22441395012,4,0.8209953468358062,0.0625,7,9,7,2000,211807699
23854804535,9,0.9315845648257911,0.0703125,1,19,4,2000,211807699
24261881672,5,0.7004703787920336,0.0546875,1,11,3,2000,211807699
24261881672,5,0.7004703787920336,0.0546875,1,10,2,2000,211807699
26290119281,1,0.6955025037651397,0.0546875,0,2,6,2000,211807699
26290119281,5,0.819051395738326,0.0625,0,10,3,2000,211807699
26490495063,8,0.7019823407567404,0.0546875,0,17,5,2000,211807699
26490495063,8,0.7019823407567404,0.0546875,0,16,3,2000,211807699
27910127026,7,0.7032783081550604,0.0546875,0,15,6,2000,211807699
27910127026,7,0.7032783081550604,0.0546875,0,14,3,2000,211807699
27910127026,9,0.9315845648257911,0.0703125,0,19,5,2000,211807699
28313227870,1,0.8138675261450454,0.0625,0,2,7,2000,211807699
28515355071,4,0.9428162822778989,0.0703125,0,9,9,2000,211807699
29120995367,2,0.7060862375180874,0.0546875,0,4,5,2000,211807699
29120995367,2,0.7060862375180874,0.0546875,0,5,2,2000,211807699
30536383236,4,0.9428162822778989,0.0703125,6,9,10,2000,211807699
30536383236,8,0.8175394337736192,0.0625,6,17,5,2000,211807699
31349401975,6,0.6993904059601,0.046875,0,12,6,2000,211807699
31349401975,6,0.6993904059601,0.046875,0,13,2,2000,211807699
31962817007,3,0.7034943027214472,0.046875,0,6,5,2000,211807699
31962817007,3,0.7034943027214472,0.046875,0,7,3,2000,211807699
31962817007,9,0.9315845648257911,0.0703125,0,19,6,2000,211807699
32166403715,0,0.7026303244559005,0.0546875,6,1,5,2000,211807699
32376924650,1,0.8110595967820184,0.0625,6,2,9,2000,211807699
32376924650,1,0.8110595967820184,0.0625,6,3,4,2000,211807699
33186756826,2,0.9382803963837785,0.0703125,1,5,4,2000,211807699
34003685809,3,0.8188354011719393,0.0625,5,7,4,2000,211807699
34003685809,7,0.9380644018173918,0.0703125,5,14,5,2000,211807699
34204814452,0,0.8192673903047126,0.0625,1,0,1,2000,211807699
34405515963,5,0.7097581451466611,0.046875,1,10,4,2000,211807699
34405515963,5,0.7097581451466611,0.046875,1,11,2,2000,211807699
34607352748,4,0.8289871457921136,0.0625,5,9,11,2000,211807699
34607352748,8,0.933744510489658,0.0703125,5,17,5,2000,211807699
34607352748,8,0.933744510489658,0.0703125,5,16,3,2000,211807699
35221471745,2,0.9382803963837785,0.0703125,9,4,6,2000,211807699
35221471745,2,0.9382803963837785,0.0703125,9,5,4,2000,211807699
35423455725,6,0.9356884615871383,0.0703125,1,12,6,2000,211807699
35423455725,6,0.9356884615871383,0.0703125,1,13,3,2000,211807699
36040586035,3,0.9341764996224313,0.0703125,5,6,5,2000,211807699
36040586035,9,0.9287766354627641,0.0703125,5,18,4,2000,211807699
36445464169,5,0.9441122496762191,0.0703125,9,10,5,2000,211807699
36646712419,4,0.9454082170745393,0.0703125,9,9,13,2000,211807699
36646712419,8,0.933744510489658,0.0703125,9,16,4,2000,211807699
37450760154,6,0.9391443746493252,0.0625,3,13,4,2000,211807699
38064688142,3,0.940656336614032,0.0703125,9,6,5,2000,211807699
38064688142,9,0.9296406137283109,0.0703125,1,19,8,2000,211807699
38465371650,5,0.9441122496762191,0.0703125,9,10,7,2000,211807699
38666806526,4,0.9428162822778989,0.0703125,9,9,14,2000,211807699
38666806526,8,0.9363364452862982,0.0703125,9,16,6,2000,211807699
40075276985,3,0.940656336614032,0.0703125,9,7,5,2000,211807699
40075276985,7,0.9380644018173918,0.0703125,9,15,4,2000,211807699
40275558712,0,0.9352564724543648,0.0703125,9,1,5,2000,211807699
40679187532,8,0.9363364452862982,0.0703125,9,16,6,2000,211807699
42094176620,9,0.9320165539585645,0.0703125,0,18,5,2000,211807699
42295437188,0,0.9322325485249512,0.0703125,9,1,5,2000,211807699
42497339330,5,0.9441122496762191,0.0703125,9,11,4,2000,211807699
42698263160,4,0.9430322768442856,0.0703125,9,8,5,2000,211807699
42698263160,8,0.936552439852685,0.0703125,9,17,6,2000,211807699
44114147335,3,0.940656336614032,0.0703125,9,6,6,2000,211807699
44114147335,7,0.9395763637820986,0.0703125,9,14,5,2000,211807699
44114147335,9,0.9302885974274709,0.0703125,0,19,7,2000,211807699
44314741517,0,0.9311525756930177,0.0703125,9,0,3,2000,211807699
44716722045,4,0.9430322768442856,0.0703125,9,9,14,2000,211807699
44716722045,4,0.9430322768442856,0.0703125,9,8,7,2000,211807699
46128815349,3,0.9363364452862982,0.0625,9,6,7,2000,211807699
46128815349,7,0.9408723311804188,0.0625,9,14,6,2000,211807699
46335684828,0,0.9311525756930177,0.0703125,9,1,6,2000,211807699
46335684828,0,0.9311525756930177,0.0703125,9,0,3,2000,211807699
46743067318,4,0.9430322768442856,0.0703125,9,9,13,2000,211807699
46743067318,4,0.9430322768442856,0.0703125,9,8,8,2000,211807699
47350581414,2,0.9384963909501651,0.0703125,9,5,5,2000,211807699
48557527716,1,0.9391443746493252,0.0703125,9,3,3,2000,211807699
48759392474,4,0.9430322768442856,0.0703125,9,8,7,2000,211807699
48759392474,8,0.9343924941888181,0.0703125,9,17,6,2000,211807699
49576147408,6,0.9374164181182317,0.0703125,9,13,4,2000,211807699
50597490609,1,0.9391443746493252,0.0703125,9,3,3,2000,211807699
50797757081,4,0.9430322768442856,0.0703125,9,9,13,2000,211807699
50797757081,4,0.9430322768442856,0.0703125,9,8,8,2000,211807699
51606270746,6,0.9374164181182317,0.0703125,9,12,6,2000,211807699
51606270746,6,0.9374164181182317,0.0703125,9,13,4,2000,211807699
52211837426,3,0.9384963909501651,0.0703125,9,6,10,2000,211807699
52417206001,0,0.9363364452862982,0.0703125,9,1,6,2000,211807699
52617361988,5,0.9376324126846184,0.0703125,9,10,7,2000,211807699
52822940711,4,0.9430322768442856,0.0703125,9,8,9,2000,211807699
53631146962,6,0.9363364452862982,0.0703125,9,12,6,2000,211807699
54234201916,7,0.9376324126846184,0.0625,9,14,9,2000,211807699
54435593459,0,0.9382803963837785,0.0703125,9,0,4,2000,211807699
54637102230,1,0.9391443746493252,0.0703125,9,3,5,2000,211807699
54837716538,4,0.9408723311804188,0.0703125,9,8,9,2000,211807699
55483016586,2,0.9367684344190716,0.0703125,9,4,3,2000,211807699
56312522181,3,0.9387123855165519,0.0703125,9,6,11,2000,211807699
56312522181,7,0.9391443746493252,0.0703125,9,14,8,2000,211807699
56516391909,0,0.940008352914872,0.0703125,9,1,6,2000,211807699
56718027466,1,0.9393603692157119,0.0703125,9,2,4,2000,211807699
56921311835,8,0.9387123855165519,0.0703125,9,17,6,2000,211807699
57741117798,6,0.9348244833215914,0.0703125,2,12,5,2000,211807699
58347484465,7,0.9391443746493252,0.0703125,2,15,3,2000,211807699
58347484465,9,0.9367684344190716,0.0703125,2,18,3,2000,211807699
58750117005,5,0.937848407251005,0.0703125,2,11,5,2000,211807699
58953480881,4,0.940656336614032,0.0703125,6,8,10,2000,211807699
58953480881,4,0.940656336614032,0.0703125,6,9,10,2000,211807699
59562119076,2,0.9322325485249512,0.0703125,6,4,3,2000,211807699
59762299856,6,0.9326645376577245,0.0703125,2,13,5,2000,211807699
60376131024,3,0.9380644018173918,0.0703125,2,7,6,2000,211807699
60781719103,1,0.9393603692157119,0.0703125,2,3,6,2000,211807699
60982013705,8,0.9387123855165519,0.0703125,2,16,6,2000,211807699
61791880959,6,0.9326645376577245,0.0703125,2,13,6,2000,211807699
61791880959,6,0.9326645376577245,0.0703125,2,12,5,2000,211807699
